"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"3+";" -1.72739391";"   0.3136960";"Inf";"   -2.424367";"-1.030420e+00";"V3 14-60D";"no-vax";"235";" 83944";"1977816";"12";"21171";" 566827";"6239.615";"6281.505";"167779";"0.5297102782";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"3+";" -1.85695733";"   0.1792078";"Inf";"   -2.255123";"-1.458791e+00";"V3 60+";"no-vax";"235";" 83944";"1977816";"38";"15511";" 902130";"6239.615";"6281.505";"167779";"0.5297102782";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"< 1y";" -1.78518993";"   0.5222407";"Inf";"   -2.945510";"-6.248694e-01";"V3 14-60D";"no-vax";" 83";" 25182";" 656633";" 4";" 6578";" 193325";"6280.892";"6299.933";"167779";"0.9849442592";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"< 1y";" -1.71495838";"   0.2833329";"Inf";"   -2.344471";"-1.085446e+00";"V3 60+";"no-vax";" 83";" 25182";" 656633";"15";" 5633";" 314142";"6280.892";"6299.933";"167779";"0.9849442592";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"1-5yr";" -1.74523910";"   0.3568504";"Inf";"   -2.538093";"-9.523848e-01";"V3 14-60D";"no-vax";"190";" 91349";"2179680";" 9";"22298";" 598034";"6280.892";"6299.933";"167779";"0.9849442592";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"1-5yr";" -1.76790437";"   0.1948970";"Inf";"   -2.200929";"-1.334880e+00";"V3 60+";"no-vax";"190";" 91349";"2179680";"32";"16739";" 976467";"6280.892";"6299.933";"167779";"0.9849442592";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"< 2y";" -1.83213537";"   0.4300677";"Inf";"   -2.787665";"-8.766060e-01";"V3 14-60D";"no-vax";"133";" 49345";"1241416";" 6";"12584";" 356146";"6285.956";"6304.997";"167779";"0.9421074048";"cancer_diagnosis_time_bin_1"
"(V3 60+) - (no-vax)";"< 2y";" -1.71696166";"   0.2252126";"Inf";"   -2.217342";"-1.216582e+00";"V3 60+";"no-vax";"133";" 49345";"1241416";"24";"10252";" 582149";"6285.956";"6304.997";"167779";"0.9421074048";"cancer_diagnosis_time_bin_1"
"(V3 14-60D) - (no-vax)";"2-5yr";" -1.68840007";"   0.4012230";"Inf";"   -2.579842";"-7.969581e-01";"V3 14-60D";"no-vax";"140";" 67186";"1594897";" 7";"16292";" 435213";"6285.956";"6304.997";"167779";"0.9421074048";"cancer_diagnosis_time_bin_1"
"(V3 60+) - (no-vax)";"2-5yr";" -1.78452650";"   0.2282194";"Inf";"   -2.291587";"-1.277466e+00";"V3 60+";"no-vax";"140";" 67186";"1594897";"23";"12120";" 708460";"6285.956";"6304.997";"167779";"0.9421074048";"cancer_diagnosis_time_bin_1"
