"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 60+) - (no-vax)";"2";" -0.236170346";"   0.4045380";"Inf";"-1.134977e+00";"   0.66263680";"V3 60+";"no-vax";" 20";" 10993";" 276006";"  9";" 2231";" 127337";"13480.569";"13530.328";"167675";"1.796854e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"3+";" -1.672485586";"   0.1747635";"Inf";"-2.060777e+00";"  -1.28419411";"V3 14-60D";"no-vax";"434";" 83891";"1968626";" 39";"21165";" 566390";"13480.569";"13530.328";"167675";"1.796854e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"3+";" -1.087895622";"   0.1293188";"Inf";"-1.375218e+00";"  -0.80057368";"V3 60+";"no-vax";"434";" 83891";"1968626";" 86";"15480";" 900072";"13480.569";"13530.328";"167675";"1.796854e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"< 1y";" -1.853858107";"   0.3166014";"Inf";"-2.557287e+00";"  -1.15042938";"V3 14-60D";"no-vax";"147";" 25169";" 653727";" 11";" 6576";" 193218";"13534.670";"13557.288";"167675";"5.237630e-01";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"< 1y";" -0.981337079";"   0.2018879";"Inf";"-1.429894e+00";"  -0.53278019";"V3 60+";"no-vax";"147";" 25169";" 653727";" 32";" 5626";" 313343";"13534.670";"13557.288";"167675";"5.237630e-01";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"1-5yr";" -1.478763163";"   0.1759114";"Inf";"-1.869605e+00";"  -1.08792111";"V3 14-60D";"no-vax";"376";" 91304";"2171945";" 39";"22293";" 597550";"13534.670";"13557.288";"167675";"5.237630e-01";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"1-5yr";" -1.027983218";"   0.1361646";"Inf";"-1.330515e+00";"  -0.72545114";"V3 60+";"no-vax";"376";" 91304";"2171945";" 76";"16707";" 974788";"13534.670";"13557.288";"167675";"5.237630e-01";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"< 2y";" -1.514610639";"   0.2203108";"Inf";"-2.004100e+00";"  -1.02512159";"V3 14-60D";"no-vax";"232";" 49313";"1235790";" 24";"12581";" 355870";"13541.094";"13563.712";"167675";"8.108385e-01";"cancer_diagnosis_time_bin_1"
"(V3 60+) - (no-vax)";"< 2y";" -0.948460165";"   0.1620494";"Inf";"-1.308503e+00";"  -0.58841690";"V3 60+";"no-vax";"232";" 49313";"1235790";" 52";"10231";" 580826";"13541.094";"13563.712";"167675";"8.108385e-01";"cancer_diagnosis_time_bin_1"
"(V3 14-60D) - (no-vax)";"2-5yr";" -1.625239830";"   0.2110614";"Inf";"-2.094179e+00";"  -1.15630109";"V3 14-60D";"no-vax";"291";" 67160";"1589882";" 26";"16288";" 434898";"13541.094";"13563.712";"167675";"8.108385e-01";"cancer_diagnosis_time_bin_1"
"(V3 60+) - (no-vax)";"2-5yr";" -1.069499366";"   0.1549486";"Inf";"-1.413766e+00";"  -0.72523279";"V3 60+";"no-vax";"291";" 67160";"1589882";" 56";"12102";" 707305";"13541.094";"13563.712";"167675";"8.108385e-01";"cancer_diagnosis_time_bin_1"
"(V3 14-60D) - (no-vax)";"< 3y";" -1.414364784";"   0.1854531";"Inf";"-1.826407e+00";"  -1.00232302";"V3 14-60D";"no-vax";"308";" 72560";"1786472";" 35";"18252";" 508035";"13535.986";"13558.604";"167675";"2.379223e-01";"cancer_diagnosis_time_bin_2"
"(V3 60+) - (no-vax)";"< 3y";" -0.924528981";"   0.1423268";"Inf";"-1.240752e+00";"  -0.60830559";"V3 60+";"no-vax";"308";" 72560";"1786472";" 70";"14467";" 826772";"13535.986";"13558.604";"167675";"2.379223e-01";"cancer_diagnosis_time_bin_2"
"(V3 14-60D) - (no-vax)";"3-5yr";" -1.867798717";"   0.2719850";"Inf";"-2.472098e+00";"  -1.26349930";"V3 14-60D";"no-vax";"215";" 43913";"1039200";" 15";"10617";" 282733";"13535.986";"13558.604";"167675";"2.379223e-01";"cancer_diagnosis_time_bin_2"
"(V3 60+) - (no-vax)";"3-5yr";" -1.154350316";"   0.1835000";"Inf";"-1.562053e+00";"  -0.74664797";"V3 60+";"no-vax";"215";" 43913";"1039200";" 38";" 7866";" 461359";"13535.986";"13558.604";"167675";"2.379223e-01";"cancer_diagnosis_time_bin_2"
"(V3 14-60D) - (no-vax)";"< 4y";" -1.490970285";"   0.1664230";"Inf";"-1.860731e+00";"  -1.12120983";"V3 14-60D";"no-vax";"421";" 94498";"2305565";" 44";"23522";" 649809";"13539.069";"13561.687";"167675";"3.594057e-01";"cancer_diagnosis_time_bin_3"
"(V3 60+) - (no-vax)";"< 4y";" -1.038746475";"   0.1298440";"Inf";"-1.327235e+00";"  -0.75025751";"V3 60+";"no-vax";"421";" 94498";"2305565";" 85";"18437";"1058110";"13539.069";"13561.687";"167675";"3.594057e-01";"cancer_diagnosis_time_bin_3"
"(V3 14-60D) - (no-vax)";"4-5yr";" -2.031484427";"   0.4232486";"Inf";"-2.971863e+00";"  -1.09110570";"V3 14-60D";"no-vax";"102";" 21975";" 520107";"  6";" 5347";" 140959";"13539.069";"13561.687";"167675";"3.594057e-01";"cancer_diagnosis_time_bin_3"
"(V3 60+) - (no-vax)";"4-5yr";" -0.909568590";"   0.2366179";"Inf";"-1.435289e+00";"  -0.38384809";"V3 60+";"no-vax";"102";" 21975";" 520107";" 23";" 3896";" 230021";"13539.069";"13561.687";"167675";"3.594057e-01";"cancer_diagnosis_time_bin_3"
"(V3 14-60D) - (no-vax)";"0";" -1.492828532";"   0.1802869";"Inf";"-1.893392e+00";"  -1.09226501";"V3 14-60D";"no-vax";"353";"103022";"2462327";" 37";"25487";" 696488";"13387.582";"13410.200";"167675";"8.546055e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 60+) - (no-vax)";"0";" -0.963417881";"   0.1356582";"Inf";"-1.264825e+00";"  -0.66201087";"V3 60+";"no-vax";"353";"103022";"2462327";" 78";"19730";"1141109";"13387.582";"13410.200";"167675";"8.546055e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 14-60D) - (no-vax)";"1";" -1.674625879";"   0.2921268";"Inf";"-2.323677e+00";"  -1.02557518";"V3 14-60D";"no-vax";"170";" 13451";" 363345";" 13";" 3382";"  94280";"13387.582";"13410.200";"167675";"8.546055e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 60+) - (no-vax)";"1";" -1.005371017";"   0.2046321";"Inf";"-1.460025e+00";"  -0.55071704";"V3 60+";"no-vax";"170";" 13451";" 363345";" 30";" 2603";" 147022";"13387.582";"13410.200";"167675";"8.546055e-01";"CCI_Metastatic_Solid_Tumor"
"(V3 14-60D) - (no-vax)";"Delta VOC";" -1.573667625";"   0.1565889";"Inf";"-1.921579e+00";"  -1.22575663";"V3 14-60D";"no-vax";"394";"108534";"2196153";" 50";"28869";" 790768";"13534.963";"13548.534";"167675";"1.009737e-01";"covid_voc"
"(V3 60+) - (no-vax)";"Delta VOC";" -1.284399433";"   0.2088686";"Inf";"-1.748466e+00";"  -0.82033267";"V3 60+";"no-vax";"394";"108534";"2196153";" 31";"11866";" 397528";"13534.963";"13548.534";"167675";"1.009737e-01";"covid_voc"
"(V3 14-60D) - (no-vax)";"Omicron VOC";NA;NA;NA;NA;NA;"V3 14-60D";"no-vax";"129";"  7939";" 629519";NA;NA;NA;"13534.963";"13548.534";"167675";"1.009737e-01";"covid_voc"
"(V3 60+) - (no-vax)";"Omicron VOC";" -0.873134293";"   0.1440916";"Inf";"-1.155549e+00";"  -0.59071990";"V3 60+";"no-vax";"129";"  7939";" 629519";" 77";"10467";" 890603";"13534.963";"13548.534";"167675";"1.009737e-01";"covid_voc"
