"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"2";" -1.3852619";"3.114695e-01";"Inf";"-2.077288e+00";"  -0.69323533";"V1 14D+";"no-vax";" 182";" 18716";" 691129.0";" 11";"  9682";" 147428";"69153.30";"69219.99";"355610";"4.703813e-02";"visits_outpatient_cat"
"(V2 7D+) - (no-vax)";"2";" -1.4508306";"2.101160e-01";"Inf";"-1.917669e+00";"  -0.98399247";"V2 7D+";"no-vax";" 182";" 18716";" 691129.0";" 26";"  5098";" 377109";"69153.30";"69219.99";"355610";"4.703813e-02";"visits_outpatient_cat"
"(V1 14D+) - (no-vax)";"3+";" -1.0385910";"9.017205e-02";"Inf";"-1.238936e+00";"  -0.83824571";"V1 14D+";"no-vax";"1642";"138362";"4661624.0";"146";" 71587";"1020565";"69153.30";"69219.99";"355610";"4.703813e-02";"visits_outpatient_cat"
"(V2 7D+) - (no-vax)";"3+";" -1.1564152";"6.060246e-02";"Inf";"-1.291062e+00";"  -1.02176800";"V2 7D+";"no-vax";"1642";"138362";"4661624.0";"352";" 38323";"2800520";"69153.30";"69219.99";"355610";"4.703813e-02";"visits_outpatient_cat"
"(V1 14D+) - (no-vax)";"< 1y";" -0.9330134";"1.068397e-01";"Inf";"-1.170391e+00";"  -0.69563577";"V1 14D+";"no-vax";"1016";" 50846";"1862477.0";"102";" 28857";" 418234";"68789.55";"68819.86";"355610";"4.421566e-02";"cancer_diagnosis_time_bin_0"
"(V2 7D+) - (no-vax)";"< 1y";" -1.0878538";"7.639611e-02";"Inf";"-1.257592e+00";"  -0.91811600";"V2 7D+";"no-vax";"1016";" 50846";"1862477.0";"216";" 14423";"1029482";"68789.55";"68819.86";"355610";"4.421566e-02";"cancer_diagnosis_time_bin_0"
"(V1 14D+) - (no-vax)";"1-5yr";" -1.1810624";"1.050349e-01";"Inf";"-1.414430e+00";"  -0.94769457";"V1 14D+";"no-vax";"1480";"148318";"5321533.0";"103";" 73335";"1082910";"68789.55";"68819.86";"355610";"4.421566e-02";"cancer_diagnosis_time_bin_0"
"(V2 7D+) - (no-vax)";"1-5yr";" -1.2907606";"6.892783e-02";"Inf";"-1.443905e+00";"  -1.13761596";"V2 7D+";"no-vax";"1480";"148318";"5321533.0";"257";" 39831";"2953209";"68789.55";"68819.86";"355610";"4.421566e-02";"cancer_diagnosis_time_bin_0"
"(V1 14D+) - (no-vax)";"< 2y";" -0.9856282";"9.153290e-02";"Inf";"-1.188997e+00";"  -0.78225930";"V1 14D+";"no-vax";"1538";" 91431";"3344192.0";"141";" 49723";" 725575";"68861.86";"68892.18";"355610";"2.193323e-01";"cancer_diagnosis_time_bin_1"
"(V2 7D+) - (no-vax)";"< 2y";" -1.1623735";"6.432673e-02";"Inf";"-1.305295e+00";"  -1.01945158";"V2 7D+";"no-vax";"1538";" 91431";"3344192.0";"305";" 25773";"1867134";"68861.86";"68892.18";"355610";"2.193323e-01";"cancer_diagnosis_time_bin_1"
"(V1 14D+) - (no-vax)";"2-5yr";" -1.2186566";"1.315870e-01";"Inf";"-1.511018e+00";"  -0.92629517";"V1 14D+";"no-vax";" 958";"107733";"3839818.0";" 64";" 52469";" 775569";"68861.86";"68892.18";"355610";"2.193323e-01";"cancer_diagnosis_time_bin_1"
"(V2 7D+) - (no-vax)";"2-5yr";" -1.2693187";"8.473285e-02";"Inf";"-1.457579e+00";"  -1.08105826";"V2 7D+";"no-vax";" 958";"107733";"3839818.0";"168";" 28481";"2115557";"68861.86";"68892.18";"355610";"2.193323e-01";"cancer_diagnosis_time_bin_1"
"(V1 14D+) - (no-vax)";"< 3y";" -0.9779151";"8.354104e-02";"Inf";"-1.163528e+00";"  -0.79230268";"V1 14D+";"no-vax";"1891";"129510";"4721991.0";"172";" 68773";"1007657";"68995.69";"69026.01";"355610";"1.360336e-02";"cancer_diagnosis_time_bin_2"
