"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"Delta VOC";"-0.7144773977";"1.00624611";"Inf";"-2.950166741";" 1.5212119453";"V1 14D+";"no-vax";"  86";" 14136";" 510733.0";"   1";"   595";"  12017";"89521.79";"89546.99";"353997";"4.257973e-03";"covid_voc"
"(V2 7D+) - (no-vax)";"Delta VOC";" 0.3734560657";"0.13647914";"Inf";" 0.070225110";" 0.6766870217";"V2 7D+";"no-vax";"  86";" 14136";" 510733.0";" 143";" 15651";" 584949";"89521.79";"89546.99";"353997";"4.257973e-03";"covid_voc"
"(V1 14D+) - (no-vax)";"0";" 0.6452765360";"0.07951880";"Inf";" 0.468600728";" 0.8219523438";"V1 14D+";"no-vax";" 541";"147935";"2485332.0";" 381";" 97341";"1162285";"89182.33";"89213.83";"353997";"1.887707e-05";"vac_heterologous"
"(V2 7D+) - (no-vax)";"0";" 0.8786537427";"0.06615692";"Inf";" 0.731665530";" 1.0256419552";"V2 7D+";"no-vax";" 541";"147935";"2485332.0";"1152";" 53352";"3905468";"89182.33";"89213.83";"353997";"1.887707e-05";"vac_heterologous"
"(V1 14D+) - (no-vax)";"1";" 0.1283556808";"0.08809448";"Inf";"-0.067373654";" 0.3240850152";"V1 14D+";"no-vax";"1804";" 50945";"4612611.0";" 141";"  4203";" 319986";"89182.33";"89213.83";"353997";"1.887707e-05";"vac_heterologous"
"(V2 7D+) - (no-vax)";"1";" 0.2899278834";"0.57874194";"Inf";"-0.995927724";" 1.5757834909";"V2 7D+";"no-vax";"1804";" 50945";"4612611.0";"   3";"   221";"   8371";"89182.33";"89213.83";"353997";"1.887707e-05";"vac_heterologous"
"(V1 14D+) - (no-vax)";"0";" 0.0352930881";"0.17282267";"Inf";"-0.348686333";" 0.4192725092";"V1 14D+";"no-vax";" 227";" 22885";"1132492.0";"  40";" 10917";" 177356";"89404.81";"89474.11";"353997";"1.362227e-02";"visits_outpatient_cat"
"(V2 7D+) - (no-vax)";"0";" 0.1418455512";"0.12430817";"Inf";"-0.134343790";" 0.4180348929";"V2 7D+";"no-vax";" 227";" 22885";"1132492.0";"  92";"  5569";" 416642";"89404.81";"89474.11";"353997";"1.362227e-02";"visits_outpatient_cat"
"(V1 14D+) - (no-vax)";"1";"-0.1940229461";"0.16478322";"Inf";"-0.560140218";" 0.1720943253";"V1 14D+";"no-vax";" 228";" 19163";" 684990.0";"  45";"  9887";" 151808";"89404.81";"89474.11";"353997";"1.362227e-02";"visits_outpatient_cat"
"(V2 7D+) - (no-vax)";"1";"-0.4757653245";"0.13553368";"Inf";"-0.776895644";"-0.1746350048";"V2 7D+";"no-vax";" 228";" 19163";" 684990.0";"  73";"  5176";" 379546";"89404.81";"89474.11";"353997";"1.362227e-02";"visits_outpatient_cat"
"(V1 14D+) - (no-vax)";"2";" 0.2294643903";"0.15492209";"Inf";"-0.114743317";" 0.5736720971";"V1 14D+";"no-vax";" 190";" 18693";" 684729.0";"  55";"  9621";" 145464";"89404.81";"89474.11";"353997";"1.362227e-02";"visits_outpatient_cat"
"(V2 7D+) - (no-vax)";"2";"-0.0186370388";"0.12717477";"Inf";"-0.301195431";" 0.2639213531";"V2 7D+";"no-vax";" 190";" 18693";" 684729.0";"  94";"  5032";" 371299";"89404.81";"89474.11";"353997";"1.362227e-02";"visits_outpatient_cat"
"(V1 14D+) - (no-vax)";"3+";"-0.0521271289";"0.06192745";"Inf";"-0.189718259";" 0.0854640012";"V1 14D+";"no-vax";"1700";"138139";"4595732.0";" 382";" 71119";"1007643";"89404.81";"89474.11";"353997";"1.362227e-02";"visits_outpatient_cat"
"(V2 7D+) - (no-vax)";"3+";"-0.0447186066";"0.04492208";"Inf";"-0.144527005";" 0.0550897916";"V2 7D+";"no-vax";"1700";"138139";"4595732.0";" 896";" 37796";"2746352";"89404.81";"89474.11";"353997";"1.362227e-02";"visits_outpatient_cat"
"(V1 14D+) - (no-vax)";"< 1y";"-0.1934331638";"0.09231396";"Inf";"-0.398537393";" 0.0116710653";"V1 14D+";"no-vax";" 772";" 50762";"1834560.0";" 151";" 28625";" 411761";"89479.58";"89511.08";"353997";"7.970228e-03";"cancer_diagnosis_time_bin_0"
"(V2 7D+) - (no-vax)";"< 1y";"-0.1581904764";"0.06776248";"Inf";"-0.308745949";"-0.0076350042";"V2 7D+";"no-vax";" 772";" 50762";"1834560.0";" 335";" 14223";"1009156";"89479.58";"89511.08";"353997";"7.970228e-03";"cancer_diagnosis_time_bin_0"
"(V1 14D+) - (no-vax)";"1-5yr";" 0.0705011348";"0.06266852";"Inf";"-0.068736506";" 0.2097387759";"V1 14D+";"no-vax";"1573";"148118";"5263383.0";" 371";" 72919";"1070510";"89479.58";"89511.08";"353997";"7.970228e-03";"cancer_diagnosis_time_bin_0"
"(V2 7D+) - (no-vax)";"1-5yr";" 0.0274480729";"0.04622877";"Inf";"-0.075263557";" 0.1301597024";"V2 7D+";"no-vax";"1573";"148118";"5263383.0";" 820";" 39350";"2904683";"89479.58";"89511.08";"353997";"7.970228e-03";"cancer_diagnosis_time_bin_0"
"(V1 14D+) - (no-vax)";"< 2y";"-0.1472437892";"0.07415947";"Inf";"-0.312012176";" 0.0175245977";"V1 14D+";"no-vax";"1225";" 91293";"3298811.0";" 245";" 49392";" 716232";"89506.74";"89538.24";"353997";"4.701257e-03";"cancer_diagnosis_time_bin_1"
"(V2 7D+) - (no-vax)";"< 2y";"-0.1117559178";"0.05387140";"Inf";"-0.231448034";" 0.0079361986";"V2 7D+";"no-vax";"1225";" 91293";"3298811.0";" 560";" 25446";"1833622";"89506.74";"89538.24";"353997";"4.701257e-03";"cancer_diagnosis_time_bin_1"
"(V1 14D+) - (no-vax)";"2-5yr";" 0.1240914728";"0.07140956";"Inf";"-0.034567131";" 0.2827500771";"V1 14D+";"no-vax";"1120";"107587";"3799132.0";" 277";" 52152";" 766039";"89506.74";"89538.24";"353997";"4.701257e-03";"cancer_diagnosis_time_bin_1"
"(V2 7D+) - (no-vax)";"2-5yr";" 0.0558114255";"0.05343072";"Inf";"-0.062901568";" 0.1745244187";"V2 7D+";"no-vax";"1120";"107587";"3799132.0";" 595";" 28127";"2080217";"89506.74";"89538.24";"353997";"4.701257e-03";"cancer_diagnosis_time_bin_1"
"(V1 14D+) - (no-vax)";"< 3y";"-0.0832930262";"0.06385320";"Inf";"-0.225162805";" 0.0585767527";"V1 14D+";"no-vax";"1653";"129325";"4660783.0";" 348";" 68354";" 995093";"89512.78";"89544.28";"353997";"6.999562e-03";"cancer_diagnosis_time_bin_2"
"(V2 7D+) - (no-vax)";"< 3y";"-0.0939853653";"0.04695850";"Inf";"-0.198318298";" 0.0103475675";"V2 7D+";"no-vax";"1653";"129325";"4660783.0";" 766";" 35663";"2582596";"89512.78";"89544.28";"353997";"6.999562e-03";"cancer_diagnosis_time_bin_2"
"(V1 14D+) - (no-vax)";"3-5yr";" 0.1478176969";"0.08827222";"Inf";"-0.048306549";" 0.3439419429";"V1 14D+";"no-vax";" 692";" 69555";"2437160.0";" 174";" 33190";" 487178";"89512.78";"89544.28";"353997";"6.999562e-03";"cancer_diagnosis_time_bin_2"
"(V2 7D+) - (no-vax)";"3-5yr";" 0.1158618358";"0.06555437";"Inf";"-0.029787637";" 0.2615113090";"V2 7D+";"no-vax";" 692";" 69555";"2437160.0";" 389";" 17910";"1331243";"89512.78";"89544.28";"353997";"6.999562e-03";"cancer_diagnosis_time_bin_2"
"(V1 14D+) - (no-vax)";"< 4y";"-0.0359260771";"0.05836914";"Inf";"-0.165611309";" 0.0937591552";"V1 14D+";"no-vax";"1988";"164666";"5907416.0";" 434";" 85273";"1242971";"89531.06";"89562.55";"353997";"2.916753e-01";"cancer_diagnosis_time_bin_3"
"(V2 7D+) - (no-vax)";"< 4y";"-0.0464934222";"0.04282941";"Inf";"-0.141652311";" 0.0486654670";"V2 7D+";"no-vax";"1988";"164666";"5907416.0";" 962";" 44828";"3264246";"89531.06";"89562.55";"353997";"2.916753e-01";"cancer_diagnosis_time_bin_3"
