"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V2 7D+) - (no-vax)";"1";" -0.594897414";"  0.3287856";"Inf";"   -1.3253970";" 1.356022e-01";"V2 7D+";"no-vax";" 42";" 11634";" 439982.0";" 12";"  2985";" 206368";"12767.96";"12789.76";"355385";"4.463558e-01";"cancer_dx_lung"
"(V1 14D+) - (no-vax)";"0";" -0.512252356";"  0.1496773";"Inf";"   -0.8448071";"-1.796976e-01";"V1 14D+";"no-vax";"388";"193117";"6942911.0";" 59";" 99183";"1448938";"12777.49";"12799.29";"355385";"5.719808e-02";"cancer_dx_head_neck"
"(V2 7D+) - (no-vax)";"0";" -0.753503234";"  0.1115838";"Inf";"   -1.0014213";"-5.055851e-01";"V2 7D+";"no-vax";"388";"193117";"6942911.0";"113";" 52591";"3862197";"12777.49";"12799.29";"355385";"5.719808e-02";"cancer_dx_head_neck"
"(V1 14D+) - (no-vax)";"1";"-14.307618554";"707.9497324";"Inf";"-1587.2385983";" 1.558623e+03";"V1 14D+";"no-vax";" 12";"  5980";" 217302.0";"  0";"  2949";"  48434";"12777.49";"12799.29";"355385";"5.719808e-02";"cancer_dx_head_neck"
"(V2 7D+) - (no-vax)";"1";" -0.117215634";"  0.5010727";"Inf";"   -1.2305049";" 9.960736e-01";"V2 7D+";"no-vax";" 12";"  5980";" 217302.0";"  6";"  1565";" 109991";"12777.49";"12799.29";"355385";"5.719808e-02";"cancer_dx_head_neck"
"(V1 14D+) - (no-vax)";"0";" -0.540342811";"  0.1494503";"Inf";"   -0.8723933";"-2.082923e-01";"V1 14D+";"no-vax";"399";"194812";"7004936.0";" 59";"100032";"1462013";"12769.12";"12790.92";"355385";"4.817332e-02";"cancer_dx_endometrium"
"(V2 7D+) - (no-vax)";"0";" -0.753442760";"  0.1102332";"Inf";"   -0.9983602";"-5.085253e-01";"V2 7D+";"no-vax";"399";"194812";"7004936.0";"116";" 53021";"3890189";"12769.12";"12790.92";"355385";"4.817332e-02";"cancer_dx_endometrium"
"(V1 14D+) - (no-vax)";"1";"-12.165643974";"829.7819750";"Inf";"-1855.7849226";" 1.831454e+03";"V1 14D+";"no-vax";"  1";"  4285";" 155277.0";"  0";"  2100";"  35359";"12769.12";"12790.92";"355385";"4.817332e-02";"cancer_dx_endometrium"
"(V2 7D+) - (no-vax)";"1";"  1.629238736";"  1.1551725";"Inf";"   -0.9373371";" 4.195815e+00";"V2 7D+";"no-vax";"  1";"  4285";" 155277.0";"  3";"  1135";"  81999";"12769.12";"12790.92";"355385";"4.817332e-02";"cancer_dx_endometrium"
"(V1 14D+) - (no-vax)";"0";" -0.523261516";"  0.1567340";"Inf";"   -0.8714950";"-1.750281e-01";"V1 14D+";"no-vax";"351";"181322";"6561381.0";" 53";" 93709";"1375503";"12773.66";"12795.46";"355385";"8.919160e-01";"cancer_dx_bladder"
