"age_group";"vac_exposure_date";"vac_concept_id";"n"
"18-49";2021-06-18;"Pfizer-mRNA-BNT162b";336
"18-49";2021-06-18;"Moderna-mRNA-1273";63
"18-49";2021-06-18;"AZ-ChAdOx1";13
"18-49";2021-06-18;"Jansen-Ad26";27
"18-49";2021-06-19;"Pfizer-mRNA-BNT162b";171
"18-49";2021-06-19;"Moderna-mRNA-1273";21
"18-49";2021-06-19;"AZ-ChAdOx1";1
"18-49";2021-06-19;"Jansen-Ad26";18
"18-49";2021-06-20;"Pfizer-mRNA-BNT162b";98
"18-49";2021-06-20;"Moderna-mRNA-1273";1
"18-49";2021-06-20;"AZ-ChAdOx1";1
"18-49";2021-06-20;"Jansen-Ad26";5
"18-49";2021-06-21;"Pfizer-mRNA-BNT162b";251
"18-49";2021-06-21;"Moderna-mRNA-1273";28
"18-49";2021-06-21;"AZ-ChAdOx1";8
"18-49";2021-06-21;"Jansen-Ad26";29
"18-49";2021-06-22;"Pfizer-mRNA-BNT162b";322
"18-49";2021-06-22;"Moderna-mRNA-1273";36
"18-49";2021-06-22;"AZ-ChAdOx1";4
"18-49";2021-06-22;"Jansen-Ad26";39
"18-49";2021-06-23;"Pfizer-mRNA-BNT162b";191
"18-49";2021-06-23;"Moderna-mRNA-1273";42
"18-49";2021-06-23;"Jansen-Ad26";45
"18-49";2021-06-24;"Pfizer-mRNA-BNT162b";85
"18-49";2021-06-24;"Moderna-mRNA-1273";8
"18-49";2021-06-24;"AZ-ChAdOx1";8
"18-49";2021-06-25;"Pfizer-mRNA-BNT162b";245
"18-49";2021-06-25;"Moderna-mRNA-1273";35
"18-49";2021-06-25;"AZ-ChAdOx1";2
"18-49";2021-06-25;"Jansen-Ad26";14
"18-49";2021-06-26;"Pfizer-mRNA-BNT162b";179
"18-49";2021-06-26;"Moderna-mRNA-1273";10
"18-49";2021-06-26;"AZ-ChAdOx1";2
"18-49";2021-06-26;"Jansen-Ad26";6
"18-49";2021-06-27;"Pfizer-mRNA-BNT162b";195
"18-49";2021-06-27;"Moderna-mRNA-1273";10
"18-49";2021-06-27;"AZ-ChAdOx1";2
"18-49";2021-06-27;"Jansen-Ad26";1
"18-49";2021-06-28;"Pfizer-mRNA-BNT162b";359
"18-49";2021-06-28;"Moderna-mRNA-1273";32
"18-49";2021-06-28;"AZ-ChAdOx1";3
"18-49";2021-06-28;"Jansen-Ad26";10
"18-49";2021-06-29;"Pfizer-mRNA-BNT162b";336
"18-49";2021-06-29;"Moderna-mRNA-1273";36
"18-49";2021-06-29;"AZ-ChAdOx1";14
"18-49";2021-06-29;"Jansen-Ad26";32
"18-49";2021-06-30;"Pfizer-mRNA-BNT162b";390
"18-49";2021-06-30;"Moderna-mRNA-1273";54
"18-49";2021-06-30;"AZ-ChAdOx1";4
"18-49";2021-06-30;"Jansen-Ad26";38
"18-49";2021-07-01;"Pfizer-mRNA-BNT162b";359
"18-49";2021-07-01;"Moderna-mRNA-1273";59
"18-49";2021-07-01;"AZ-ChAdOx1";6
"18-49";2021-07-01;"Jansen-Ad26";16
"18-49";2021-07-02;"Pfizer-mRNA-BNT162b";515
"18-49";2021-07-02;"Moderna-mRNA-1273";38
"18-49";2021-07-02;"AZ-ChAdOx1";12
"18-49";2021-07-02;"Jansen-Ad26";21
"18-49";2021-07-03;"Pfizer-mRNA-BNT162b";228
"18-49";2021-07-03;"Moderna-mRNA-1273";6
"18-49";2021-07-03;"AZ-ChAdOx1";1
"18-49";2021-07-03;"Jansen-Ad26";11
"18-49";2021-07-04;"Pfizer-mRNA-BNT162b";145
"18-49";2021-07-04;"Moderna-mRNA-1273";29
"18-49";2021-07-04;"AZ-ChAdOx1";2
"18-49";2021-07-04;"Jansen-Ad26";3
"18-49";2021-07-05;"Pfizer-mRNA-BNT162b";347
"18-49";2021-07-05;"Moderna-mRNA-1273";89
"18-49";2021-07-05;"AZ-ChAdOx1";3
"18-49";2021-07-05;"Jansen-Ad26";15
"18-49";2021-07-06;"Pfizer-mRNA-BNT162b";370
"18-49";2021-07-06;"Moderna-mRNA-1273";50
"18-49";2021-07-06;"AZ-ChAdOx1";9
"18-49";2021-07-06;"Jansen-Ad26";14
"18-49";2021-07-07;"Pfizer-mRNA-BNT162b";352
"18-49";2021-07-07;"Moderna-mRNA-1273";38
"18-49";2021-07-07;"AZ-ChAdOx1";3
"18-49";2021-07-07;"Jansen-Ad26";33
"18-49";2021-07-08;"Pfizer-mRNA-BNT162b";282
"18-49";2021-07-08;"Moderna-mRNA-1273";72
"18-49";2021-07-08;"AZ-ChAdOx1";6
"18-49";2021-07-08;"Jansen-Ad26";44
"18-49";2021-07-09;"Pfizer-mRNA-BNT162b";336
"18-49";2021-07-09;"Moderna-mRNA-1273";53
"18-49";2021-07-09;"Jansen-Ad26";19
"18-49";2021-07-10;"Pfizer-mRNA-BNT162b";217
"18-49";2021-07-10;"Moderna-mRNA-1273";21
"18-49";2021-07-10;"AZ-ChAdOx1";2
"18-49";2021-07-10;"Jansen-Ad26";18
"18-49";2021-07-11;"Pfizer-mRNA-BNT162b";85
"18-49";2021-07-11;"Moderna-mRNA-1273";35
"18-49";2021-07-11;"Jansen-Ad26";10
"18-49";2021-07-12;"Pfizer-mRNA-BNT162b";263
"18-49";2021-07-12;"Moderna-mRNA-1273";33
"18-49";2021-07-12;"Jansen-Ad26";26
"18-49";2021-07-13;"Pfizer-mRNA-BNT162b";246
"18-49";2021-07-13;"Moderna-mRNA-1273";37
"18-49";2021-07-13;"Jansen-Ad26";23
