"vac_exposure_date";"vac_number";"vac_concept_id";"n"
2021-03-17;"Dose Two";"Pfizer-mRNA-BNT162b";954
2021-03-17;"Dose Two";"Moderna-mRNA-1273";7
2021-03-18;"Dose One";"Pfizer-mRNA-BNT162b";69
2021-03-18;"Dose One";"Moderna-mRNA-1273";215
2021-03-18;"Dose Two";"Pfizer-mRNA-BNT162b";1064
2021-03-18;"Dose Two";"Moderna-mRNA-1273";6
2021-03-19;"Dose One";"Pfizer-mRNA-BNT162b";129
2021-03-19;"Dose One";"Moderna-mRNA-1273";201
2021-03-19;"Dose Two";"Pfizer-mRNA-BNT162b";834
2021-03-19;"Dose Two";"Moderna-mRNA-1273";7
2021-03-20;"Dose One";"Pfizer-mRNA-BNT162b";2
2021-03-20;"Dose One";"Moderna-mRNA-1273";1
2021-03-20;"Dose Two";"Pfizer-mRNA-BNT162b";21
2021-03-22;"Dose One";"Pfizer-mRNA-BNT162b";20
2021-03-22;"Dose One";"Moderna-mRNA-1273";432
2021-03-22;"Dose Two";"Pfizer-mRNA-BNT162b";48
2021-03-22;"Dose Two";"Moderna-mRNA-1273";6
2021-03-23;"Dose One";"Pfizer-mRNA-BNT162b";108
2021-03-23;"Dose One";"Moderna-mRNA-1273";278
2021-03-23;"Dose One";"AZ-ChAdOx1";1
2021-03-23;"Dose Two";"Pfizer-mRNA-BNT162b";467
2021-03-23;"Dose Two";"Moderna-mRNA-1273";22
2021-03-24;"Dose One";"Pfizer-mRNA-BNT162b";306
2021-03-24;"Dose One";"Moderna-mRNA-1273";548
2021-03-24;"Dose One";"AZ-ChAdOx1";465
2021-03-24;"Dose Two";"Pfizer-mRNA-BNT162b";838
2021-03-24;"Dose Two";"Moderna-mRNA-1273";22
2021-03-24;"Dose Two";"AZ-ChAdOx1";1
2021-03-25;"Dose One";"Pfizer-mRNA-BNT162b";439
2021-03-25;"Dose One";"Moderna-mRNA-1273";668
2021-03-25;"Dose One";"AZ-ChAdOx1";663
2021-03-25;"Dose Two";"Pfizer-mRNA-BNT162b";681
2021-03-25;"Dose Two";"Moderna-mRNA-1273";10
2021-03-26;"Dose One";"Pfizer-mRNA-BNT162b";443
2021-03-26;"Dose One";"Moderna-mRNA-1273";521
2021-03-26;"Dose One";"AZ-ChAdOx1";529
2021-03-26;"Dose Two";"Pfizer-mRNA-BNT162b";441
2021-03-26;"Dose Two";"Moderna-mRNA-1273";35
2021-03-27;"Dose One";"Pfizer-mRNA-BNT162b";4
2021-03-27;"Dose One";"Moderna-mRNA-1273";4
2021-03-27;"Dose One";"AZ-ChAdOx1";434
2021-03-27;"Dose Two";"Pfizer-mRNA-BNT162b";5
2021-03-28;"Dose One";"AZ-ChAdOx1";106
2021-03-28;"Dose Two";"Pfizer-mRNA-BNT162b";1
2021-03-29;"Dose One";"Pfizer-mRNA-BNT162b";81
2021-03-29;"Dose One";"Moderna-mRNA-1273";480
2021-03-29;"Dose One";"AZ-ChAdOx1";612
2021-03-29;"Dose Two";"Pfizer-mRNA-BNT162b";16
2021-03-29;"Dose Two";"Moderna-mRNA-1273";32
2021-03-30;"Dose One";"Pfizer-mRNA-BNT162b";1715
2021-03-30;"Dose One";"Moderna-mRNA-1273";551
2021-03-30;"Dose One";"AZ-ChAdOx1";562
2021-03-30;"Dose Two";"Pfizer-mRNA-BNT162b";260
2021-03-30;"Dose Two";"Moderna-mRNA-1273";43
2021-03-31;"Dose One";"Pfizer-mRNA-BNT162b";2134
2021-03-31;"Dose One";"Moderna-mRNA-1273";509
2021-03-31;"Dose One";"AZ-ChAdOx1";498
2021-03-31;"Dose Two";"Pfizer-mRNA-BNT162b";383
2021-03-31;"Dose Two";"Moderna-mRNA-1273";31
2021-04-01;"Dose One";"Pfizer-mRNA-BNT162b";1258
2021-04-01;"Dose One";"Moderna-mRNA-1273";227
2021-04-01;"Dose One";"AZ-ChAdOx1";499
2021-04-01;"Dose Two";"Pfizer-mRNA-BNT162b";299
2021-04-01;"Dose Two";"Moderna-mRNA-1273";32
2021-04-02;"Dose One";"Pfizer-mRNA-BNT162b";36
2021-04-02;"Dose One";"Moderna-mRNA-1273";18
2021-04-02;"Dose One";"AZ-ChAdOx1";159
2021-04-02;"Dose Two";"Pfizer-mRNA-BNT162b";11
2021-04-02;"Dose Two";"AZ-ChAdOx1";1
2021-04-03;"Dose One";"Moderna-mRNA-1273";5
2021-04-03;"Dose One";"AZ-ChAdOx1";380
2021-04-03;"Dose Two";"Pfizer-mRNA-BNT162b";1
2021-04-03;"Dose Two";"Moderna-mRNA-1273";23
2021-04-04;"Dose One";"AZ-ChAdOx1";268
2021-04-05;"Dose One";"AZ-ChAdOx1";369
2021-04-05;"Dose Two";"Pfizer-mRNA-BNT162b";1
2021-04-06;"Dose One";"Pfizer-mRNA-BNT162b";891
2021-04-06;"Dose One";"Moderna-mRNA-1273";431
2021-04-06;"Dose One";"AZ-ChAdOx1";528
2021-04-06;"Dose Two";"Pfizer-mRNA-BNT162b";55
2021-04-06;"Dose Two";"Moderna-mRNA-1273";61
2021-04-07;"Dose One";"Pfizer-mRNA-BNT162b";2353
2021-04-07;"Dose One";"Moderna-mRNA-1273";379
2021-04-07;"Dose One";"AZ-ChAdOx1";483
2021-04-07;"Dose Two";"Pfizer-mRNA-BNT162b";104
2021-04-07;"Dose Two";"Moderna-mRNA-1273";58
2021-04-08;"Dose One";"Pfizer-mRNA-BNT162b";2371
2021-04-08;"Dose One";"Moderna-mRNA-1273";413
2021-04-08;"Dose One";"AZ-ChAdOx1";199
2021-04-08;"Dose Two";"Pfizer-mRNA-BNT162b";125
2021-04-08;"Dose Two";"Moderna-mRNA-1273";58
2021-04-09;"Dose One";"Pfizer-mRNA-BNT162b";1807
2021-04-09;"Dose One";"Moderna-mRNA-1273";297
2021-04-09;"Dose One";"AZ-ChAdOx1";215
2021-04-09;"Dose Two";"Pfizer-mRNA-BNT162b";166
2021-04-09;"Dose Two";"Moderna-mRNA-1273";40
2021-04-10;"Dose One";"Pfizer-mRNA-BNT162b";2
2021-04-10;"Dose One";"Moderna-mRNA-1273";27
2021-04-10;"Dose One";"AZ-ChAdOx1";66
2021-04-11;"Dose One";"Pfizer-mRNA-BNT162b";1
2021-04-11;"Dose One";"AZ-ChAdOx1";22
2021-04-12;"Dose One";"Pfizer-mRNA-BNT162b";34
2021-04-12;"Dose One";"Moderna-mRNA-1273";396
2021-04-12;"Dose One";"AZ-ChAdOx1";313
2021-04-12;"Dose One";"Jansen-Ad26";1
2021-04-12;"Dose Two";"Pfizer-mRNA-BNT162b";4
2021-04-12;"Dose Two";"Moderna-mRNA-1273";12
2021-04-13;"Dose One";"Pfizer-mRNA-BNT162b";1375
2021-04-13;"Dose One";"Moderna-mRNA-1273";244
2021-04-13;"Dose One";"AZ-ChAdOx1";322
2021-04-13;"Dose Two";"Pfizer-mRNA-BNT162b";111
2021-04-13;"Dose Two";"Moderna-mRNA-1273";10
2021-04-14;"Dose One";"Pfizer-mRNA-BNT162b";2056
2021-04-14;"Dose One";"Moderna-mRNA-1273";264
2021-04-14;"Dose One";"AZ-ChAdOx1";329
2021-04-14;"Dose Two";"Pfizer-mRNA-BNT162b";256
2021-04-14;"Dose Two";"Moderna-mRNA-1273";84
2021-04-15;"Dose One";"Pfizer-mRNA-BNT162b";1730
2021-04-15;"Dose One";"Moderna-mRNA-1273";309
2021-04-15;"Dose One";"AZ-ChAdOx1";668
2021-04-15;"Dose Two";"Pfizer-mRNA-BNT162b";390
2021-04-15;"Dose Two";"Moderna-mRNA-1273";199
2021-04-16;"Dose One";"Pfizer-mRNA-BNT162b";1036
2021-04-16;"Dose One";"Moderna-mRNA-1273";182
2021-04-16;"Dose One";"AZ-ChAdOx1";573
2021-04-16;"Dose Two";"Pfizer-mRNA-BNT162b";509
2021-04-16;"Dose Two";"Moderna-mRNA-1273";200
2021-04-16;"Dose Two";"AZ-ChAdOx1";1
2021-04-17;"Dose One";"Moderna-mRNA-1273";95
2021-04-17;"Dose One";"AZ-ChAdOx1";44
2021-04-18;"Dose One";"AZ-ChAdOx1";13
2021-04-19;"Dose One";"Pfizer-mRNA-BNT162b";24
2021-04-19;"Dose One";"Moderna-mRNA-1273";247
2021-04-19;"Dose One";"AZ-ChAdOx1";186
2021-04-19;"Dose Two";"Pfizer-mRNA-BNT162b";45
2021-04-19;"Dose Two";"Moderna-mRNA-1273";385
2021-04-20;"Dose One";"Pfizer-mRNA-BNT162b";509
2021-04-20;"Dose One";"Moderna-mRNA-1273";218
2021-04-20;"Dose One";"AZ-ChAdOx1";271
2021-04-20;"Dose Two";"Pfizer-mRNA-BNT162b";1295
2021-04-20;"Dose Two";"Moderna-mRNA-1273";227
2021-04-21;"Dose One";"Pfizer-mRNA-BNT162b";611
2021-04-21;"Dose One";"Moderna-mRNA-1273";240
2021-04-21;"Dose One";"AZ-ChAdOx1";220
2021-04-21;"Dose Two";"Pfizer-mRNA-BNT162b";1971
2021-04-21;"Dose Two";"Moderna-mRNA-1273";495
2021-04-22;"Dose One";"Pfizer-mRNA-BNT162b";793
2021-04-22;"Dose One";"Moderna-mRNA-1273";243
2021-04-22;"Dose One";"AZ-ChAdOx1";377
2021-04-22;"Dose Two";"Pfizer-mRNA-BNT162b";1504
