"outcomes";"outcomes_dates";"n";"n_total";"cum_sum"
"death_date";2021-11-11;19;164467;0.0382933962436233
"death_date";2021-11-12;40;164467;0.038536606127673
"death_date";2021-11-13;2;164467;0.0385487666218755
"death_date";2021-11-15;4;164467;0.0385730876102805
"death_date";2021-11-16;14;164467;0.0386582110696979
"death_date";2021-11-17;61;164467;0.0390291061428736
"death_date";2021-11-18;19;164467;0.0391446308377972
"death_date";2021-11-19;26;164467;0.0393027172624295
"death_date";2021-11-20;29;164467;0.0394790444283656
"death_date";2021-11-22;11;164467;0.0395459271464792
"death_date";2021-11-23;8;164467;0.0395945691232892
"death_date";2021-11-24;50;164467;0.0398985814783513
"death_date";2021-11-25;4;164467;0.0399229024667562
"death_date";2021-11-26;16;164467;0.0400201864203761
"death_date";2021-11-27;22;164467;0.0401539518566035
"death_date";2021-11-28;1;164467;0.0401600321037047
"death_date";2021-11-29;8;164467;0.0402086740805146
"death_date";2021-11-30;9;164467;0.0402633963044258
"death_date";2021-12-01;6;164467;0.0402998777870333
"death_date";2021-12-02;5;164467;0.0403302790225395
"death_date";2021-12-03;43;164467;0.0405917296478929
"death_date";2021-12-04;3;164467;0.0406099703891966
"death_date";2021-12-07;28;164467;0.0407802173080314
"death_date";2021-12-08;1;164467;0.0407862975551326
"death_date";2021-12-09;25;164467;0.0409383037326637
"death_date";2021-12-10;21;164467;0.0410659889217898
"death_date";2021-12-11;34;164467;0.041272717323232
"death_date";2021-12-13;33;164467;0.041473365477573
"death_date";2021-12-14;7;164467;0.0415159272072817
"death_date";2021-12-15;55;164467;0.04185034079785
"death_date";2021-12-16;15;164467;0.0419415445043687
"death_date";2021-12-17;1;164467;0.0419476247514699
"death_date";2021-12-18;32;164467;0.0421421926587097
"death_date";2021-12-20;7;164467;0.0421847543884183
"death_date";2021-12-21;8;164467;0.0422333963652283
"death_date";2021-12-22;52;164467;0.0425495692144929
"death_date";2021-12-23;9;164467;0.0426042914384041
"death_date";2021-12-24;24;164467;0.0427502173688339
"death_date";2021-12-25;2;164467;0.0427623778630364
"death_date";2021-12-27;17;164467;0.0428657420637575
"death_date";2021-12-28;5;164467;0.0428961432992637
"death_date";2021-12-29;58;164467;0.0432487976311357
"death_date";2021-12-30;6;164467;0.0432852791137432
"death_date";2021-12-31;13;164467;0.0433643223260593
"death_date";2022-01-01;4;164467;0.0433886433144643
"death_date";2022-01-03;3;164467;0.043406884055768
"death_date";2022-01-04;4;164467;0.043431205044173
"death_date";2022-01-05;39;164467;0.0436683346811214
"death_date";2022-01-06;25;164467;0.0438203408586525
"death_date";2022-01-07;1;164467;0.0438264211057537
"death_date";2022-01-08;3;164467;0.0438446618470575
"death_date";2022-01-09;1;164467;0.0438507420941587
"death_date";2022-01-10;6;164467;0.0438872235767662
"death_date";2022-01-11;13;164467;0.0439662667890823
"death_date";2022-01-12;57;164467;0.0443128408738531
"death_date";2022-01-13;5;164467;0.0443432421093593
"death_date";2022-01-14;26;164467;0.0445013285339916
"death_date";2022-01-15;24;164467;0.0446472544644214
"death_date";2022-01-17;7;164467;0.0446898161941301
"death_date";2022-01-18;7;164467;0.0447323779238388
"death_date";2022-01-19;59;164467;0.0450911125028121
"death_date";2022-01-20;13;164467;0.0451701557151283
"death_date";2022-01-21;29;164467;0.0453464828810643
"death_date";2022-01-22;19;164467;0.0454620075759879
"death_date";2022-01-24;9;164467;0.0455167297998991
"death_date";2022-01-25;14;164467;0.0456018532593165
"death_date";2022-01-26;44;164467;0.0458693841317711
"death_date";2022-01-27;4;164467;0.0458937051201761
"death_date";2022-01-28;14;164467;0.0459788285795935
"death_date";2022-01-29;34;164467;0.0461855569810357
"death_date";2022-01-31;7;164467;0.0462281187107444
"death_date";2022-02-01;3;164467;0.0462463594520481
"death_date";2022-02-02;25;164467;0.0463983656295792
"death_date";2022-02-03;13;164467;0.0464774088418953
"death_date";2022-02-04;26;164467;0.0466354952665276
"death_date";2022-02-05;21;164467;0.0467631804556537
"death_date";2022-02-07;11;164467;0.0468300631737674
"death_date";2022-02-08;10;164467;0.0468908656447798
"death_date";2022-02-09;54;164467;0.0472191989882469
"death_date";2022-02-10;7;164467;0.0472617607179556
"death_date";2022-02-11;23;164467;0.0474016064012842
"death_date";2022-02-12;6;164467;0.0474380878838916
"death_date";2022-02-14;4;164467;0.0474624088722966
"death_date";2022-02-15;7;164467;0.0475049706020053
"death_date";2022-02-17;72;164467;0.0479427483932947
"death_date";2022-02-18;34;164467;0.0481494767947369
"death_date";2022-02-19;17;164467;0.0482528409954581
"death_date";2022-02-21;4;164467;0.048277161983863
"death_date";2022-02-22;5;164467;0.0483075632193692
"death_date";2022-02-23;33;164467;0.0485082113737102
"death_date";2022-02-24;11;164467;0.0485750940918239
"death_date";2022-02-25;33;164467;0.0487757422461649
"death_date";2022-02-28;7;164467;0.0488183039758736
"death_date";2022-03-01;25;164467;0.0489703101534046
"death_date";2022-03-02;14;164467;0.049055433612822
"death_date";2022-03-03;4;164467;0.049079754601227
"death_date";2022-03-04;23;164467;0.0492196002845556
"death_date";2022-03-05;28;164467;0.0493898472033903
"death_date";2022-03-07;3;164467;0.0494080879446941
"death_date";2022-03-08;19;164467;0.0495236126396177
"death_date";2022-03-09;26;164467;0.04968169906425
"death_date";2022-03-10;30;164467;0.0498641064772872
"death_date";2022-03-11;29;164467;0.0500404336432233
"death_date";2022-03-12;11;164467;0.0501073163613369
"death_date";2022-03-14;2;164467;0.0501194768555394
"death_date";2022-03-15;6;164467;0.0501559583381469
"death_date";2022-03-16;41;164467;0.0504052484692978
"death_date";2022-03-17;17;164467;0.0505086126700189
"death_date";2022-03-18;16;164467;0.0506058966236388
"death_date";2022-03-21;6;164467;0.0506423781062462
"death_date";2022-03-22;6;164467;0.0506788595888537
"death_date";2022-03-23;58;164467;0.0510315139207257
"death_date";2022-03-24;13;164467;0.0511105571330419
"death_date";2022-03-25;19;164467;0.0512260818279655
"death_date";2022-03-26;17;164467;0.0513294460286866
"death_date";2022-03-28;9;164467;0.0513841682525978
"death_date";2022-03-29;7;164467;0.0514267299823065
"death_date";2022-03-30;8;164467;0.0514753719591164
"death_date";2022-03-31;21;164467;0.0516030571482425
"death_date";2022-04-01;52;164467;0.0519192299975071
"death_date";2022-04-02;29;164467;0.0520955571634431
"death_date";2022-04-04;10;164467;0.0521563596344555
"death_date";2022-04-05;5;164467;0.0521867608699618
"death_date";2022-04-06;36;164467;0.0524056497656065
"death_date";2022-04-07;12;164467;0.0524786127308214
"death_date";2022-04-08;25;164467;0.0526306189083524
"death_date";2022-04-09;17;164467;0.0527339831090736
"death_date";2022-04-11;8;164467;0.0527826250858835
"death_date";2022-04-12;4;164467;0.0528069460742885
"death_date";2022-04-13;42;164467;0.0530623164525406
"death_date";2022-04-14;4;164467;0.0530866374409456
"death_date";2022-04-15;22;164467;0.0532204028771729
"death_date";2022-04-16;2;164467;0.0532325633713754
"death_date";2022-04-19;13;164467;0.0533116065836916
"death_date";2022-04-20;13;164467;0.0533906497960077
"death_date";2022-04-21;33;164467;0.0535912979503487
"death_date";2022-04-22;24;164467;0.0537372238807785
"death_date";2022-04-23;13;164467;0.0538162670930947
"death_date";2022-04-25;15;164467;0.0539074707996133
"death_date";2022-04-26;9;164467;0.0539621930235245
"death_date";2022-04-27;49;164467;0.0542601251314853
