"level";"0";"1";"p";"test"
"1";"  472 (  3.3) ";" 2860 (  2.9) ";"";""
"0";"13234 ( 92.7) ";"90268 ( 92.8) ";" 0.628";""
"1";" 1048 (  7.3) ";" 7026 (  7.2) ";"";""
"0";"12927 ( 90.5) ";"86529 ( 88.9) ";"<0.001";""
"1";" 1355 (  9.5) ";"10765 ( 11.1) ";"";""
"0";"13988 ( 97.9) ";"96186 ( 98.9) ";"<0.001";""
"1";"  294 (  2.1) ";" 1108 (  1.1) ";"";""
"0";"13801 ( 96.6) ";"95042 ( 97.7) ";"<0.001";""
"1";"  481 (  3.4) ";" 2252 (  2.3) ";"";""
"0";"14266 ( 99.9) ";"97216 ( 99.9) ";" 0.284";""
"1";"   16 (  0.1) ";"   78 (  0.1) ";"";""
"0";"14209 ( 99.5) ";"96870 ( 99.6) ";" 0.232";""
"1";"   73 (  0.5) ";"  424 (  0.4) ";"";""
"0";"14170 ( 99.2) ";"96615 ( 99.3) ";" 0.274";""
"1";"  112 (  0.8) ";"  679 (  0.7) ";"";""
"0";"13087 ( 91.6) ";"89044 ( 91.5) ";" 0.664";""
"1";" 1195 (  8.4) ";" 8250 (  8.5) ";"";""
"";" 3.00 [2.00, 8.00]";" 3.00 [2.00, 6.00]";"<0.001";"nonnorm"
"0";"13886 ( 97.2) ";"94361 ( 97.0) ";" 0.119";""
"1";"  396 (  2.8) ";" 2933 (  3.0) ";"";""
"1";"14282 (100.0) ";"97294 (100.0) ";"    NA";""
"0";"10716 ( 75.0) ";"83450 ( 85.8) ";"<0.001";""
"1";" 3566 ( 25.0) ";"13844 ( 14.2) ";"";""
"0";"11235 ( 78.7) ";"75133 ( 77.2) ";"<0.001";""
"1";" 3047 ( 21.3) ";"22161 ( 22.8) ";"";""
"0";"13640 ( 95.5) ";"94264 ( 96.9) ";"<0.001";""
"1";"  642 (  4.5) ";" 3030 (  3.1) ";"";""
"0";"13415 ( 93.9) ";"91597 ( 94.1) ";" 0.317";""
"1";"  867 (  6.1) ";" 5697 (  5.9) ";"";""
"0";"11637 ( 81.5) ";"79738 ( 82.0) ";" 0.172";""
"1";" 2645 ( 18.5) ";"17556 ( 18.0) ";"";""
"0";"11336 ( 79.4) ";"80005 ( 82.2) ";"<0.001";""
"1";" 2946 ( 20.6) ";"17289 ( 17.8) ";"";""
"0";"13236 ( 92.7) ";"90812 ( 93.3) ";" 0.003";""
"1";" 1046 (  7.3) ";" 6482 (  6.7) ";"";""
"0";"13270 ( 92.9) ";"90998 ( 93.5) ";" 0.006";""
"1";" 1012 (  7.1) ";" 6296 (  6.5) ";"";""
"0";"12764 ( 89.4) ";"89232 ( 91.7) ";"<0.001";""
"1";" 1518 ( 10.6) ";" 8062 (  8.3) ";"";""
"0";"13763 ( 96.4) ";"94688 ( 97.3) ";"<0.001";""
"1";"  519 (  3.6) ";" 2606 (  2.7) ";"";""
"0";"13437 ( 94.1) ";"92076 ( 94.6) ";" 0.007";""
"1";"  845 (  5.9) ";" 5218 (  5.4) ";"";""
"0";"13621 ( 95.4) ";"92875 ( 95.5) ";" 0.660";""
"1";"  661 (  4.6) ";" 4419 (  4.5) ";"";""
"0";"13824 ( 96.8) ";"95706 ( 98.4) ";"<0.001";""
"1";"  458 (  3.2) ";" 1588 (  1.6) ";"";""
"0";"13964 ( 97.8) ";"95840 ( 98.5) ";"<0.001";""
"1";"  318 (  2.2) ";" 1454 (  1.5) ";"";""
"0";"14151 ( 99.1) ";"96725 ( 99.4) ";"<0.001";""
"1";"  131 (  0.9) ";"  569 (  0.6) ";"";""
"";" 7.04 (9.94)";" 7.39 (8.53)";"<0.001";""
"";" 9.43 (12.95)";" 8.17 (8.96)";"<0.001";""
"0";" 2743 ( 19.2) ";" 8696 (  8.9) ";"<0.001";""
"1";" 1279 (  9.0) ";" 9423 (  9.7) ";"";""
"2";" 1268 (  8.9) ";" 9136 (  9.4) ";"";""
"3+";" 8992 ( 63.0) ";"70039 ( 72.0) ";"";""
