"cancer_diagnosis_time";"covid_date";"n";"n_total"
"0";2022-02-28;11;25795
"0";2022-03-01;20;25795
"0";2022-03-02;21;25795
"0";2022-03-03;14;25795
"0";2022-03-04;12;25795
"0";2022-03-05;1;25795
"0";2022-03-06;8;25795
"0";2022-03-07;19;25795
"0";2022-03-08;21;25795
"0";2022-03-09;16;25795
"0";2022-03-10;17;25795
"0";2022-03-11;14;25795
"0";2022-03-12;5;25795
"0";2022-03-13;15;25795
"0";2022-03-14;24;25795
"0";2022-03-15;15;25795
"0";2022-03-16;18;25795
"0";2022-03-17;11;25795
"0";2022-03-18;7;25795
"0";2022-03-19;12;25795
"0";2022-03-20;9;25795
"0";2022-03-21;13;25795
"0";2022-03-22;9;25795
"0";2022-03-23;15;25795
"0";2022-03-24;10;25795
"0";2022-03-25;12;25795
"0";2022-03-26;7;25795
"0";2022-03-27;5;25795
"0";2022-03-28;6;25795
"0";2022-03-29;9;25795
"0";2022-03-30;12;25795
"0";2022-03-31;5;25795
"0";2022-04-01;6;25795
"0";2022-04-02;2;25795
"0";2022-04-03;2;25795
"0";2022-04-04;12;25795
"0";2022-04-05;15;25795
"0";2022-04-06;14;25795
"0";2022-04-07;17;25795
"0";2022-04-08;19;25795
"0";2022-04-09;6;25795
"0";2022-04-10;5;25795
"0";2022-04-11;13;25795
"0";2022-04-12;15;25795
"0";2022-04-13;18;25795
"0";2022-04-14;11;25795
"0";2022-04-15;6;25795
"0";2022-04-16;10;25795
"0";2022-04-17;5;25795
"0";2022-04-18;8;25795
"0";2022-04-19;29;25795
"0";2022-04-20;26;25795
"0";2022-04-21;20;25795
"0";2022-04-22;23;25795
"0";2022-04-23;5;25795
"0";2022-04-24;7;25795
"0";2022-04-25;23;25795
"0";2022-04-26;32;25795
"0";2022-04-27;33;25795
"0";2022-04-28;26;25795
"0";2022-04-29;28;25795
"0";2022-04-30;5;25795
"0";2022-05-01;3;25795
"0";2022-05-02;31;25795
"0";2022-05-03;35;25795
"0";2022-05-04;43;25795
"0";2022-05-05;35;25795
"0";2022-05-06;35;25795
"0";2022-05-07;11;25795
"0";2022-05-08;11;25795
"0";2022-05-09;34;25795
"0";2022-05-10;35;25795
"0";2022-05-11;28;25795
"0";2022-05-12;38;25795
"0";2022-05-13;35;25795
"0";2022-05-14;7;25795
"0";2022-05-15;12;25795
"0";2022-05-16;25;25795
"0";2022-05-17;33;25795
"0";2022-05-18;27;25795
"0";2022-05-19;26;25795
"0";2022-05-20;36;25795
"0";2022-05-21;8;25795
"0";2022-05-22;8;25795
"0";2022-05-23;35;25795
"0";2022-05-24;28;25795
"0";2022-05-25;19;25795
"0";2022-05-26;20;25795
"0";2022-05-27;26;25795
"0";2022-05-28;9;25795
"0";2022-05-29;4;25795
"0";2022-05-30;27;25795
"0";2022-05-31;20;25795
"0";2022-06-01;20;25795
"0";2022-06-02;28;25795
"0";2022-06-03;26;25795
"0";2022-06-04;9;25795
"0";2022-06-05;8;25795
"0";2022-06-06;15;25795
"0";2022-06-07;42;25795
"0";2022-06-08;33;25795
"0";2022-06-09;20;25795
"0";2022-06-10;30;25795
"0";2022-06-11;16;25795
"0";2022-06-12;6;25795
"0";2022-06-13;34;25795
"0";2022-06-14;30;25795
"0";2022-06-15;22;25795
"0";2022-06-16;31;25795
"0";2022-06-17;29;25795
"0";2022-06-18;17;25795
"0";2022-06-19;9;25795
"0";2022-06-20;43;25795
"0";2022-06-21;47;25795
"0";2022-06-22;44;25795
"0";2022-06-23;41;25795
"0";2022-06-24;16;25795
"0";2022-06-25;19;25795
"0";2022-06-26;20;25795
"0";2022-06-27;60;25795
"0";2022-06-28;56;25795
"0";2022-06-29;40;25795
"0";2022-06-30;48;25795
"0";NA;145166;25795
"1";2020-12-27;5;24440
"1";2020-12-28;17;24440
"1";2020-12-29;15;24440
"1";2020-12-30;14;24440
"1";2020-12-31;24;24440
"1";2021-01-01;6;24440
"1";2021-01-02;4;24440
"1";2021-01-03;5;24440
"1";2021-01-04;19;24440
"1";2021-01-05;30;24440
"1";2021-01-06;2;24440
"1";2021-01-07;20;24440
"1";2021-01-08;18;24440
"1";2021-01-09;7;24440
"1";2021-01-10;11;24440
"1";2021-01-11;34;24440
"1";2021-01-12;28;24440
"1";2021-01-13;28;24440
"1";2021-01-14;20;24440
"1";2021-01-15;20;24440
"1";2021-01-16;9;24440
"1";2021-01-17;5;24440
"1";2021-01-18;17;24440
"1";2021-01-19;26;24440
"1";2021-01-20;21;24440
"1";2021-01-21;18;24440
"1";2021-01-22;15;24440
"1";2021-01-23;7;24440
"1";2021-01-24;8;24440
"1";2021-01-25;22;24440
"1";2021-01-26;16;24440
"1";2021-01-27;20;24440
"1";2021-01-28;18;24440
"1";2021-01-29;13;24440
"1";2021-01-30;4;24440
"1";2021-01-31;6;24440
"1";2021-02-01;8;24440
"1";2021-02-02;15;24440
"1";2021-02-03;16;24440
"1";2021-02-04;11;24440
"1";2021-02-05;8;24440
"1";2021-02-06;4;24440
"1";2021-02-07;8;24440
"1";2021-02-08;11;24440
"1";2021-02-09;11;24440
"1";2021-02-10;9;24440
"1";2021-02-11;13;24440
"1";2021-02-12;11;24440
"1";2021-02-13;4;24440
"1";2021-02-14;6;24440
"1";2021-02-15;6;24440
"1";2021-02-16;13;24440
"1";2021-02-17;10;24440
"1";2021-02-18;9;24440
"1";2021-02-19;6;24440
"1";2021-02-20;4;24440
"1";2021-02-21;2;24440
"1";2021-02-22;10;24440
"1";2021-02-23;8;24440
"1";2021-02-24;7;24440
"1";2021-02-25;8;24440
"1";2021-02-26;5;24440
"1";2021-03-01;6;24440
"1";2021-03-02;7;24440
"1";2021-03-03;8;24440
"1";2021-03-04;7;24440
"1";2021-03-05;5;24440
"1";2021-03-07;2;24440
"1";2021-03-08;5;24440
"1";2021-03-09;4;24440
"1";2021-03-10;4;24440
"1";2021-03-11;7;24440
"1";2021-03-12;8;24440
"1";2021-03-13;1;24440
"1";2021-03-14;3;24440
"1";2021-03-15;4;24440
"1";2021-03-16;8;24440
"1";2021-03-17;9;24440
"1";2021-03-18;3;24440
"1";2021-03-19;5;24440
"1";2021-03-20;5;24440
"1";2021-03-21;3;24440
"1";2021-03-22;8;24440
"1";2021-03-23;10;24440
"1";2021-03-24;7;24440
"1";2021-03-25;7;24440
"1";2021-03-26;7;24440
"1";2021-03-28;1;24440
"1";2021-03-29;7;24440
"1";2021-03-30;10;24440
"1";2021-03-31;9;24440
"1";2021-04-01;7;24440
"1";2021-04-02;7;24440
"1";2021-04-03;2;24440
"1";2021-04-04;2;24440
"1";2021-04-05;4;24440
"1";2021-04-06;11;24440
"1";2021-04-07;5;24440
"1";2021-04-08;13;24440
"1";2021-04-09;9;24440
"1";2021-04-10;1;24440
"1";2021-04-11;6;24440
"1";2021-04-12;9;24440
"1";2021-04-13;11;24440
"1";2021-04-14;13;24440
"1";2021-04-15;15;24440
"1";2021-04-16;13;24440
"1";2021-04-17;4;24440
"1";2021-04-19;11;24440
"1";2021-04-20;8;24440
"1";2021-04-21;5;24440
"1";2021-04-22;4;24440
"1";2021-04-23;3;24440
"1";2021-04-24;4;24440
"1";2021-04-26;8;24440
"1";2021-04-27;10;24440
"1";2021-04-28;7;24440
"1";2021-04-29;7;24440
"1";2021-04-30;5;24440
"1";2021-05-02;3;24440
"1";2021-05-03;6;24440
"1";2021-05-04;5;24440
"1";2021-05-05;6;24440
"1";2021-05-06;5;24440
"1";2021-05-07;8;24440
"1";2021-05-09;4;24440
"1";2021-05-10;8;24440
"1";2021-05-11;3;24440
"1";2021-05-12;9;24440
"1";2021-05-13;3;24440
"1";2021-05-14;6;24440
"1";2021-05-16;2;24440
"1";2021-05-17;2;24440
"1";2021-05-18;12;24440
"1";2021-05-19;2;24440
"1";2021-05-20;4;24440
"1";2021-05-21;6;24440
"1";2021-05-22;1;24440
"1";2021-05-23;2;24440
"1";2021-05-24;3;24440
"1";2021-05-25;6;24440
"1";2021-05-26;4;24440
"1";2021-05-27;5;24440
"1";2021-05-28;3;24440
