"vac_exposure_date";"vac_number";"cancer_diagnosis_time";"vac_concept_id";"n"
2021-01-25;"Dose One";"1";"Pfizer-mRNA-BNT162b";5
2021-01-25;"Dose One";"1";"Moderna-mRNA-1273";1
2021-01-25;"Dose One";"2";"Pfizer-mRNA-BNT162b";3
2021-01-25;"Dose One";"3";"Pfizer-mRNA-BNT162b";3
2021-01-25;"Dose One";"4";"Pfizer-mRNA-BNT162b";4
2021-01-25;"Dose Two";"0";"Pfizer-mRNA-BNT162b";7
2021-01-25;"Dose Two";"1";"Pfizer-mRNA-BNT162b";2
2021-01-25;"Dose Two";"2";"Pfizer-mRNA-BNT162b";2
2021-01-25;"Dose Two";"3";"Pfizer-mRNA-BNT162b";2
2021-01-26;"Dose One";"0";"Pfizer-mRNA-BNT162b";4
2021-01-26;"Dose One";"0";"Moderna-mRNA-1273";1
2021-01-26;"Dose One";"1";"Moderna-mRNA-1273";3
2021-01-26;"Dose One";"2";"Pfizer-mRNA-BNT162b";2
2021-01-26;"Dose One";"2";"Moderna-mRNA-1273";1
2021-01-26;"Dose One";"3";"Pfizer-mRNA-BNT162b";1
2021-01-26;"Dose One";"4";"Moderna-mRNA-1273";2
2021-01-26;"Dose Two";"0";"Pfizer-mRNA-BNT162b";14
2021-01-26;"Dose Two";"1";"Pfizer-mRNA-BNT162b";18
2021-01-26;"Dose Two";"2";"Pfizer-mRNA-BNT162b";9
2021-01-26;"Dose Two";"3";"Pfizer-mRNA-BNT162b";13
2021-01-26;"Dose Two";"4";"Pfizer-mRNA-BNT162b";10
2021-01-27;"Dose One";"0";"Pfizer-mRNA-BNT162b";4
2021-01-27;"Dose One";"1";"Pfizer-mRNA-BNT162b";3
2021-01-27;"Dose One";"1";"Moderna-mRNA-1273";1
2021-01-27;"Dose Two";"0";"Pfizer-mRNA-BNT162b";11
2021-01-27;"Dose Two";"1";"Pfizer-mRNA-BNT162b";7
2021-01-27;"Dose Two";"2";"Pfizer-mRNA-BNT162b";5
2021-01-27;"Dose Two";"3";"Pfizer-mRNA-BNT162b";8
2021-01-27;"Dose Two";"4";"Pfizer-mRNA-BNT162b";7
2021-01-28;"Dose One";"0";"Pfizer-mRNA-BNT162b";1
2021-01-28;"Dose One";"1";"Pfizer-mRNA-BNT162b";2
2021-01-28;"Dose One";"1";"Moderna-mRNA-1273";1
2021-01-28;"Dose One";"2";"Pfizer-mRNA-BNT162b";2
2021-01-28;"Dose One";"2";"Moderna-mRNA-1273";1
2021-01-28;"Dose One";"3";"Pfizer-mRNA-BNT162b";2
2021-01-28;"Dose One";"3";"Moderna-mRNA-1273";1
2021-01-28;"Dose Two";"0";"Pfizer-mRNA-BNT162b";19
2021-01-28;"Dose Two";"1";"Pfizer-mRNA-BNT162b";12
2021-01-28;"Dose Two";"2";"Pfizer-mRNA-BNT162b";15
2021-01-28;"Dose Two";"3";"Pfizer-mRNA-BNT162b";13
2021-01-28;"Dose Two";"4";"Pfizer-mRNA-BNT162b";13
2021-01-29;"Dose One";"0";"Pfizer-mRNA-BNT162b";5
2021-01-29;"Dose One";"1";"Pfizer-mRNA-BNT162b";3
2021-01-29;"Dose One";"2";"Pfizer-mRNA-BNT162b";1
2021-01-29;"Dose One";"3";"Pfizer-mRNA-BNT162b";1
2021-01-29;"Dose One";"4";"Pfizer-mRNA-BNT162b";1
2021-01-29;"Dose Two";"0";"Pfizer-mRNA-BNT162b";37
2021-01-29;"Dose Two";"1";"Pfizer-mRNA-BNT162b";26
2021-01-29;"Dose Two";"2";"Pfizer-mRNA-BNT162b";28
2021-01-29;"Dose Two";"3";"Pfizer-mRNA-BNT162b";19
2021-01-29;"Dose Two";"4";"Pfizer-mRNA-BNT162b";13
2021-01-30;"Dose One";"0";"Pfizer-mRNA-BNT162b";3
2021-01-30;"Dose One";"1";"Pfizer-mRNA-BNT162b";1
2021-01-30;"Dose Two";"0";"Pfizer-mRNA-BNT162b";19
2021-01-30;"Dose Two";"1";"Pfizer-mRNA-BNT162b";6
2021-01-30;"Dose Two";"2";"Pfizer-mRNA-BNT162b";5
2021-01-30;"Dose Two";"3";"Pfizer-mRNA-BNT162b";6
2021-01-30;"Dose Two";"4";"Pfizer-mRNA-BNT162b";6
2021-01-31;"Dose One";"0";"Pfizer-mRNA-BNT162b";3
2021-01-31;"Dose One";"1";"Pfizer-mRNA-BNT162b";1
2021-01-31;"Dose One";"2";"Pfizer-mRNA-BNT162b";2
2021-01-31;"Dose Two";"0";"Pfizer-mRNA-BNT162b";10
2021-01-31;"Dose Two";"1";"Pfizer-mRNA-BNT162b";5
2021-01-31;"Dose Two";"2";"Pfizer-mRNA-BNT162b";1
2021-01-31;"Dose Two";"3";"Pfizer-mRNA-BNT162b";4
2021-01-31;"Dose Two";"4";"Pfizer-mRNA-BNT162b";3
2021-02-01;"Dose One";"0";"Pfizer-mRNA-BNT162b";4
2021-02-01;"Dose One";"2";"Pfizer-mRNA-BNT162b";1
2021-02-01;"Dose One";"2";"Moderna-mRNA-1273";1
2021-02-01;"Dose One";"2";"Jansen-Ad26";1
2021-02-01;"Dose One";"3";"Pfizer-mRNA-BNT162b";2
2021-02-01;"Dose One";"3";"Moderna-mRNA-1273";2
2021-02-01;"Dose One";"3";"AZ-ChAdOx1";1
2021-02-01;"Dose One";"4";"Pfizer-mRNA-BNT162b";2
2021-02-01;"Dose Two";"0";"Pfizer-mRNA-BNT162b";23
2021-02-01;"Dose Two";"1";"Pfizer-mRNA-BNT162b";11
2021-02-01;"Dose Two";"2";"Pfizer-mRNA-BNT162b";15
2021-02-01;"Dose Two";"3";"Pfizer-mRNA-BNT162b";13
2021-02-01;"Dose Two";"4";"Pfizer-mRNA-BNT162b";11
2021-02-02;"Dose One";"0";"Pfizer-mRNA-BNT162b";1
2021-02-02;"Dose One";"1";"Pfizer-mRNA-BNT162b";1
2021-02-02;"Dose One";"3";"Pfizer-mRNA-BNT162b";2
2021-02-02;"Dose One";"3";"Moderna-mRNA-1273";1
2021-02-02;"Dose Two";"0";"Pfizer-mRNA-BNT162b";27
2021-02-02;"Dose Two";"1";"Pfizer-mRNA-BNT162b";15
2021-02-02;"Dose Two";"2";"Pfizer-mRNA-BNT162b";26
2021-02-02;"Dose Two";"3";"Pfizer-mRNA-BNT162b";19
2021-02-02;"Dose Two";"4";"Pfizer-mRNA-BNT162b";20
2021-02-03;"Dose One";"0";"Pfizer-mRNA-BNT162b";3
2021-02-03;"Dose One";"2";"Pfizer-mRNA-BNT162b";3
2021-02-03;"Dose One";"3";"Moderna-mRNA-1273";1
