"vac_exposure_date";"vac_concept_id";"n"
2021-05-06;"Jansen-Ad26";31
2021-05-07;"Pfizer-mRNA-BNT162b";2421
2021-05-07;"Moderna-mRNA-1273";412
2021-05-07;"AZ-ChAdOx1";268
2021-05-07;"Jansen-Ad26";30
2021-05-08;"Pfizer-mRNA-BNT162b";490
2021-05-08;"Moderna-mRNA-1273";5
2021-05-08;"AZ-ChAdOx1";76
2021-05-09;"Pfizer-mRNA-BNT162b";341
2021-05-09;"Moderna-mRNA-1273";14
2021-05-09;"AZ-ChAdOx1";35
2021-05-10;"Pfizer-mRNA-BNT162b";406
2021-05-10;"Moderna-mRNA-1273";395
2021-05-10;"AZ-ChAdOx1";365
2021-05-10;"Jansen-Ad26";41
2021-05-11;"Pfizer-mRNA-BNT162b";1219
2021-05-11;"Moderna-mRNA-1273";371
2021-05-11;"AZ-ChAdOx1";82
2021-05-11;"Jansen-Ad26";18
2021-05-12;"Pfizer-mRNA-BNT162b";1500
2021-05-12;"Moderna-mRNA-1273";400
2021-05-12;"AZ-ChAdOx1";85
2021-05-12;"Jansen-Ad26";13
2021-05-13;"Pfizer-mRNA-BNT162b";1610
2021-05-13;"Moderna-mRNA-1273";549
2021-05-13;"AZ-ChAdOx1";107
2021-05-13;"Jansen-Ad26";15
2021-05-14;"Pfizer-mRNA-BNT162b";1550
2021-05-14;"Moderna-mRNA-1273";369
2021-05-14;"AZ-ChAdOx1";62
2021-05-14;"Jansen-Ad26";22
2021-05-15;"Pfizer-mRNA-BNT162b";201
2021-05-15;"Moderna-mRNA-1273";149
2021-05-15;"AZ-ChAdOx1";13
2021-05-15;"Jansen-Ad26";6
2021-05-16;"Pfizer-mRNA-BNT162b";101
2021-05-16;"Moderna-mRNA-1273";138
2021-05-16;"AZ-ChAdOx1";3
2021-05-17;"Pfizer-mRNA-BNT162b";149
2021-05-17;"Moderna-mRNA-1273";389
2021-05-17;"AZ-ChAdOx1";177
2021-05-17;"Jansen-Ad26";5
2021-05-18;"Pfizer-mRNA-BNT162b";897
2021-05-18;"Moderna-mRNA-1273";368
2021-05-18;"AZ-ChAdOx1";52
2021-05-18;"Jansen-Ad26";14
2021-05-19;"Pfizer-mRNA-BNT162b";718
2021-05-19;"Moderna-mRNA-1273";363
2021-05-19;"AZ-ChAdOx1";80
2021-05-19;"Jansen-Ad26";17
2021-05-20;"Pfizer-mRNA-BNT162b";835
2021-05-20;"Moderna-mRNA-1273";428
2021-05-20;"AZ-ChAdOx1";70
2021-05-20;"Jansen-Ad26";24
2021-05-21;"Pfizer-mRNA-BNT162b";1645
2021-05-21;"Moderna-mRNA-1273";317
2021-05-21;"AZ-ChAdOx1";30
2021-05-21;"Jansen-Ad26";25
2021-05-22;"Pfizer-mRNA-BNT162b";360
2021-05-22;"Moderna-mRNA-1273";147
2021-05-22;"AZ-ChAdOx1";3
2021-05-22;"Jansen-Ad26";1
2021-05-23;"Pfizer-mRNA-BNT162b";332
2021-05-23;"Moderna-mRNA-1273";58
2021-05-23;"AZ-ChAdOx1";1
2021-05-24;"Pfizer-mRNA-BNT162b";352
2021-05-24;"Moderna-mRNA-1273";125
2021-05-24;"AZ-ChAdOx1";53
2021-05-24;"Jansen-Ad26";2
2021-05-25;"Pfizer-mRNA-BNT162b";1010
2021-05-25;"Moderna-mRNA-1273";405
2021-05-25;"AZ-ChAdOx1";24
2021-05-25;"Jansen-Ad26";18
2021-05-26;"Pfizer-mRNA-BNT162b";786
2021-05-26;"Moderna-mRNA-1273";446
2021-05-26;"AZ-ChAdOx1";44
