"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V1 14D+) - (no-vax)";"0";" -0.53182359";"  0.24079235";"Inf";"   -1.0668188";" 3.171661e-03";"V1 14D+";"no-vax";" 76";"147981";"2500655.0";" 27";" 97879";"1174122";"14953.99";"14976.64";"355455";"0.0037449465";"vac_heterologous"
"(V2 7D+) - (no-vax)";"0";"  0.11185027";"  0.16616861";"Inf";"   -0.2573451";" 4.810456e-01";"V2 7D+";"no-vax";" 76";"147981";"2500655.0";"149";" 53979";"3968502";"14953.99";"14976.64";"355455";"0.0037449465";"vac_heterologous"
"(V1 14D+) - (no-vax)";"1";"  0.34444039";"  0.16324331";"Inf";"   -0.0182555";" 7.071363e-01";"V1 14D+";"no-vax";"391";" 51125";"4668800.0";" 42";"  4268";" 324985";"14953.99";"14976.64";"355455";"0.0037449465";"vac_heterologous"
"(V2 7D+) - (no-vax)";"1";"-12.43657246";"629.46354842";"Inf";"-1410.9860324";" 1.386113e+03";"V2 7D+";"no-vax";"391";" 51125";"4668800.0";"  0";"   223";"   8439";"14953.99";"14976.64";"355455";"0.0037449465";"vac_heterologous"
"(V1 14D+) - (no-vax)";"< 1y";" -0.34140830";"  0.20765765";"Inf";"   -0.8027845";" 1.199679e-01";"V1 14D+";"no-vax";"165";" 50832";"1857865.0";" 29";" 28843";" 417519";"15017.14";"15039.79";"355455";"0.0504805691";"cancer_diagnosis_time_bin_0"
"(V2 7D+) - (no-vax)";"< 1y";" -1.05483393";"  0.18034433";"Inf";"   -1.4555251";"-6.541428e-01";"V2 7D+";"no-vax";"165";" 50832";"1857865.0";" 39";" 14409";"1027912";"15017.14";"15039.79";"355455";"0.0504805691";"cancer_diagnosis_time_bin_0"
"(V1 14D+) - (no-vax)";"1-5yr";" -0.52912575";"  0.17584811";"Inf";"   -0.9198271";"-1.384244e-01";"V1 14D+";"no-vax";"302";"148274";"5311590.0";" 40";" 73304";"1081588";"15017.14";"15039.79";"355455";"0.0504805691";"cancer_diagnosis_time_bin_0"
"(V2 7D+) - (no-vax)";"1-5yr";" -0.60656108";"  0.11443783";"Inf";"   -0.8608204";"-3.523018e-01";"V2 7D+";"no-vax";"302";"148274";"5311590.0";"110";" 39793";"2949029";"15017.14";"15039.79";"355455";"0.0504805691";"cancer_diagnosis_time_bin_0"
"(V1 14D+) - (no-vax)";"< 2y";" -0.41536867";"  0.17764320";"Inf";"   -0.8100584";"-2.067893e-02";"V1 14D+";"no-vax";"253";" 91404";"3336523.0";" 40";" 49704";" 724636";"15028.90";"15051.55";"355455";"0.0207122996";"cancer_diagnosis_time_bin_1"
"(V2 7D+) - (no-vax)";"< 2y";" -1.00189256";"  0.14353739";"Inf";"   -1.3208056";"-6.829795e-01";"V2 7D+";"no-vax";"253";" 91404";"3336523.0";" 63";" 25747";"1864274";"15028.90";"15051.55";"355455";"0.0207122996";"cancer_diagnosis_time_bin_1"
"(V1 14D+) - (no-vax)";"2-5yr";" -0.50287159";"  0.20435590";"Inf";"   -0.9569119";"-4.883126e-02";"V1 14D+";"no-vax";"214";"107702";"3832932.0";" 29";" 52443";" 774471";"15028.90";"15051.55";"355455";"0.0207122996";"cancer_diagnosis_time_bin_1"
"(V2 7D+) - (no-vax)";"2-5yr";" -0.49862563";"  0.13035051";"Inf";"   -0.7882399";"-2.090114e-01";"V2 7D+";"no-vax";"214";"107702";"3832932.0";" 86";" 28455";"2112667";"15028.90";"15051.55";"355455";"0.0207122996";"cancer_diagnosis_time_bin_1"
"(V1 14D+) - (no-vax)";"< 3y";" -0.46372980";"  0.16287155";"Inf";"   -0.8255997";"-1.018599e-01";"V1 14D+";"no-vax";"323";"129476";"4712183.0";" 48";" 68744";"1006321";"15041.05";"15063.70";"355455";"0.5965257037";"cancer_diagnosis_time_bin_2"
"(V2 7D+) - (no-vax)";"< 3y";" -0.80637708";"  0.11900087";"Inf";"   -1.0707746";"-5.419796e-01";"V2 7D+";"no-vax";"323";"129476";"4712183.0";" 97";" 36067";"2623820";"15041.05";"15063.70";"355455";"0.5965257037";"cancer_diagnosis_time_bin_2"
"(V1 14D+) - (no-vax)";"3-5yr";" -0.42448326";"  0.23915114";"Inf";"   -0.9558321";" 1.068655e-01";"V1 14D+";"no-vax";"144";" 69630";"2457272.0";" 21";" 33403";" 492786";"15041.05";"15063.70";"355455";"0.5965257037";"cancer_diagnosis_time_bin_2"
"(V2 7D+) - (no-vax)";"3-5yr";" -0.60323015";"  0.16390891";"Inf";"   -0.9674049";"-2.390554e-01";"V2 7D+";"no-vax";"144";" 69630";"2457272.0";" 52";" 18135";"1353121";"15041.05";"15063.70";"355455";"0.5965257037";"cancer_diagnosis_time_bin_2"
"(V1 14D+) - (no-vax)";"< 4y";" -0.45076967";"  0.14971689";"Inf";"   -0.7834124";"-1.181269e-01";"V1 14D+";"no-vax";"390";"164858";"5969626.0";" 58";" 85762";"1256890";"15043.71";"15066.35";"355455";"0.9909670163";"cancer_diagnosis_time_bin_3"
"(V2 7D+) - (no-vax)";"< 4y";" -0.74419021";"  0.10663495";"Inf";"   -0.9811130";"-5.072674e-01";"V2 7D+";"no-vax";"390";"164858";"5969626.0";"124";" 45338";"3315811";"15043.71";"15066.35";"355455";"0.9909670163";"cancer_diagnosis_time_bin_3"
"(V1 14D+) - (no-vax)";"4-5yr";" -0.45315787";"  0.32634732";"Inf";"   -1.1782402";" 2.719244e-01";"V1 14D+";"no-vax";" 77";" 34248";"1199829.0";" 11";" 16385";" 242217";"15043.71";"15066.35";"355455";"0.9909670163";"cancer_diagnosis_time_bin_3"
"(V2 7D+) - (no-vax)";"4-5yr";" -0.71101112";"  0.23169493";"Inf";"   -1.2257936";"-1.962286e-01";"V2 7D+";"no-vax";" 77";" 34248";"1199829.0";" 25";"  8864";" 661130";"15043.71";"15066.35";"355455";"0.9909670163";"cancer_diagnosis_time_bin_3"
"(V1 14D+) - (no-vax)";"0";" -0.43049798";"  0.15713539";"Inf";"   -0.7796232";"-8.137273e-02";"V1 14D+";"no-vax";"340";"169557";"6045881.0";" 52";" 86030";"1281794";"14959.63";"14982.28";"355455";"0.0548228589";"CCI_Metastatic_Solid_Tumor"
"(V2 7D+) - (no-vax)";"0";" -0.87015602";"  0.11829133";"Inf";"   -1.1329771";"-6.073350e-01";"V2 7D+";"no-vax";"340";"169557";"6045881.0";" 97";" 46034";"3413243";"14959.63";"14982.28";"355455";"0.0548228589";"CCI_Metastatic_Solid_Tumor"
"(V1 14D+) - (no-vax)";"1";" -0.43603299";"  0.26473260";"Inf";"   -1.0242190";" 1.521530e-01";"V1 14D+";"no-vax";"127";" 29549";"1123574.0";" 17";" 16117";" 217313";"14959.63";"14982.28";"355455";"0.0548228589";"CCI_Metastatic_Solid_Tumor"
"(V2 7D+) - (no-vax)";"1";" -0.38786145";"  0.16675210";"Inf";"   -0.7583532";"-1.736970e-02";"V2 7D+";"no-vax";"127";" 29549";"1123574.0";" 52";"  8168";" 563698";"14959.63";"14982.28";"355455";"0.0548228589";"CCI_Metastatic_Solid_Tumor"
"(V1 14D+) - (no-vax)";"0";" -0.37748099";"  0.14585412";"Inf";"   -0.7015414";"-5.342061e-02";"V1 14D+";"no-vax";"397";"166004";"5948414.0";" 62";" 83791";"1220731";"15019.58";"15042.23";"355455";"0.0031478015";"cancer_dx_breast"
"(V2 7D+) - (no-vax)";"0";" -0.62632270";"  0.10194579";"Inf";"   -0.8528271";"-3.998183e-01";"V2 7D+";"no-vax";"397";"166004";"5948414.0";"140";" 44428";"3260961";"15019.58";"15042.23";"355455";"0.0031478015";"cancer_dx_breast"
"(V1 14D+) - (no-vax)";"1";" -0.92402256";"  0.39957688";"Inf";"   -1.8118071";"-3.623797e-02";"V1 14D+";"no-vax";" 70";" 33102";"1221041.0";"  7";" 18356";" 278376";"15019.58";"15042.23";"355455";"0.0031478015";"cancer_dx_breast"
"(V2 7D+) - (no-vax)";"1";" -1.70472945";"  0.35516583";"Inf";"   -2.4938410";"-9.156179e-01";"V2 7D+";"no-vax";" 70";" 33102";"1221041.0";"  9";"  9774";" 715980";"15019.58";"15042.23";"355455";"0.0031478015";"cancer_dx_breast"
"(V1 14D+) - (no-vax)";"0";" -0.43559944";"  0.14346731";"Inf";"   -0.7543568";"-1.168421e-01";"V1 14D+";"no-vax";"427";"174618";"6390766.5";" 64";" 91495";"1340847";"15040.51";"15063.16";"355455";"0.4318348927";"cancer_dx_prostate"
"(V2 7D+) - (no-vax)";"0";" -0.77459402";"  0.10346320";"Inf";"   -1.0044698";"-5.447183e-01";"V2 7D+";"no-vax";"427";"174618";"6390766.5";"131";" 48223";"3533883";"15040.51";"15063.16";"355455";"0.4318348927";"cancer_dx_prostate"
