"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"Delta VOC";" -1.58381289";"   0.1596886";"Inf";"-1.938611e+00";"-1.229015e+00";"V3 14-60D";"no-vax";"386";"108534";"2196661";" 48";"28869";" 790754";"13241.680";"13255.189";"167681";"9.396990e-02";"covid_voc"
"(V3 60+) - (no-vax)";"Delta VOC";" -1.31702518";"   0.2114264";"Inf";"-1.786775e+00";"-8.472754e-01";"V3 60+";"no-vax";"386";"108534";"2196661";" 30";"11866";" 397538";"13241.680";"13255.189";"167681";"9.396990e-02";"covid_voc"
"(V3 14-60D) - (no-vax)";"Omicron VOC";NA;NA;NA;NA;NA;"V3 14-60D";"no-vax";"128";"  7944";" 629732";NA;NA;NA;"13241.680";"13255.189";"167681";"9.396990e-02";"covid_voc"
"(V3 60+) - (no-vax)";"Omicron VOC";" -0.89256977";"   0.1454986";"Inf";"-1.177742e+00";"-6.073978e-01";"V3 60+";"no-vax";"128";"  7944";" 629732";" 75";"10468";" 890693";"13241.680";"13255.189";"167681";"9.396990e-02";"covid_voc"
"(V3 14-60D) - (no-vax)";"0";"  0.00000000";"   0.0000000";"Inf";" 0.000000e+00";" 0.000000e+00";"V3 14-60D";"no-vax";"  2";" 12814";" 121980";"  6";" 5482";" 150311";" 3087.077";" 3096.413";"105470";"4.014974e-01";"vac_mRNA_12"
"(V3 60+) - (no-vax)";"0";"  0.00000000";"   0.0000000";"Inf";" 0.000000e+00";" 0.000000e+00";"V3 60+";"no-vax";"  2";" 12814";" 121980";"  7";" 4376";" 254129";" 3087.077";" 3096.413";"105470";"4.014974e-01";"vac_mRNA_12"
"(V3 14-60D) - (no-vax)";"1";"  0.12746853";"   0.8841340";"Inf";"-1.836911e+00";" 2.091848e+00";"V3 14-60D";"no-vax";" 11";" 41453";" 450855";" 42";"23387";" 640443";" 3087.077";" 3096.413";"105470";"4.014974e-01";"vac_mRNA_12"
"(V3 60+) - (no-vax)";"1";"  0.83122554";"   0.8630812";"Inf";"-1.086378e+00";" 2.748829e+00";"V3 60+";"no-vax";" 11";" 41453";" 450855";" 98";"17958";"1034102";" 3087.077";" 3096.413";"105470";"4.014974e-01";"vac_mRNA_12"
"(V3 14-60D) - (no-vax)";"0";" -0.09880421";"   0.3938890";"Inf";"-9.739514e-01";" 7.763429e-01";"V3 14-60D";"no-vax";" 18";" 27105";" 369800";" 18";"10692";" 265791";" 4139.138";" 4155.991";"149468";"5.331893e-02";"vac_diff_vac"
"(V3 60+) - (no-vax)";"0";" -0.62947979";"   0.3895510";"Inf";"-1.494989e+00";" 2.360292e-01";"V3 60+";"no-vax";" 18";" 27105";" 369800";" 47";" 5855";" 350558";" 4139.138";" 4155.991";"149468";"5.331893e-02";"vac_diff_vac"
"(V3 14-60D) - (no-vax)";"1";" -0.35723655";"   0.2979013";"Inf";"-1.019117e+00";" 3.046441e-01";"V3 14-60D";"no-vax";" 44";" 71160";" 970777";" 30";"18177";" 524963";" 4139.138";" 4155.991";"149468";"5.331893e-02";"vac_diff_vac"
"(V3 60+) - (no-vax)";"1";" -1.41919417";"   0.3796700";"Inf";"-2.262749e+00";"-5.756389e-01";"V3 60+";"no-vax";" 44";" 71160";" 970777";" 58";"16479";" 937673";" 4139.138";" 4155.991";"149468";"5.331893e-02";"vac_diff_vac"
"(V3 14-60D) - (no-vax)";"0";" -0.30291382";"   0.2240534";"Inf";"-8.007184e-01";" 1.948907e-01";"V3 14-60D";"no-vax";" 49";" 74528";"1057356";" 42";"23387";" 640443";"13130.951";"13153.465";"167681";"6.247916e-17";"vac_heterologous"
"(V3 60+) - (no-vax)";"0";"  0.53736985";"   0.2022757";"Inf";" 8.795137e-02";" 9.867883e-01";"V3 60+";"no-vax";" 49";" 74528";"1057356";" 98";"17958";"1034174";"13130.951";"13153.465";"167681";"6.247916e-17";"vac_heterologous"
"(V3 14-60D) - (no-vax)";"1";" -2.26579999";"   0.4142054";"Inf";"-3.186086e+00";"-1.345514e+00";"V3 14-60D";"no-vax";"465";" 41950";"1769037";"  6";" 5482";" 150311";"13130.951";"13153.465";"167681";"6.247916e-17";"vac_heterologous"
"(V3 60+) - (no-vax)";"1";" -2.10161029";"   0.3842761";"Inf";"-2.955399e+00";"-1.247821e+00";"V3 60+";"no-vax";"465";" 41950";"1769037";"  7";" 4376";" 254057";"13130.951";"13153.465";"167681";"6.247916e-17";"vac_heterologous"
"(V3 14-60D) - (no-vax)";"0";" -1.65060906";"   0.1691052";"Inf";"-2.026329e+00";"-1.274889e+00";"V3 14-60D";"no-vax";"484";" 97005";"2344655";" 42";"23965";" 651354";"13180.557";"13203.071";"167681";"2.373352e-01";"cancer_dx_breast"
"(V3 60+) - (no-vax)";"0";" -1.05845127";"   0.1232554";"Inf";"-1.332302e+00";"-7.846009e-01";"V3 60+";"no-vax";"484";" 97005";"2344655";" 96";"18191";"1055302";"13180.557";"13203.071";"167681";"2.373352e-01";"cancer_dx_breast"
"(V3 14-60D) - (no-vax)";"1";" -0.85613374";"   0.4502497";"Inf";"-1.856504e+00";" 1.442364e-01";"V3 14-60D";"no-vax";" 30";" 19473";" 481738";"  6";" 4904";" 139400";"13180.557";"13203.071";"167681";"2.373352e-01";"cancer_dx_breast"
"(V3 60+) - (no-vax)";"1";" -0.69391385";"   0.3835301";"Inf";"-1.546045e+00";" 1.582177e-01";"V3 60+";"no-vax";" 30";" 19473";" 481738";"  9";" 4143";" 232929";"13180.557";"13203.071";"167681";"2.373352e-01";"cancer_dx_breast"
"(V3 14-60D) - (no-vax)";"0";" -1.54184817";"   0.1679754";"Inf";"-1.915058e+00";"-1.168639e+00";"V3 14-60D";"no-vax";"445";" 99820";"2472498";" 43";"24858";" 690267";"13246.906";"13269.420";"167681";"6.179060e-01";"cancer_dx_prostate"
"(V3 60+) - (no-vax)";"0";" -1.00933117";"   0.1251761";"Inf";"-1.287449e+00";"-7.312135e-01";"V3 60+";"no-vax";"445";" 99820";"2472498";" 93";"19759";"1131192";"13246.906";"13269.420";"167681";"6.179060e-01";"cancer_dx_prostate"
