"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 60+) - (no-vax)";"Age 80+";" 0.4311347758";"0.08101793";"Inf";" 0.23997892";" 0.622290635";"V3 60+";"no-vax";" 540";"11759";" 464648";" 267";" 2063";" 249786";"138223.71";"138271.35";"166225";" 2.040697e-24";"age_bin_80"
"(V3 0-14D) - (no-vax)";"Age < 85";"-0.4391977479";"0.04595606";"Inf";"-0.54762770";"-0.330767793";"V3 0-14D";"no-vax";"3558";"48484";"1913581";" 767";"48484";" 502739";"138424.04";"138471.68";"166225";" 3.865135e-11";"age_bin_85"
"(V3 14-60D) - (no-vax)";"Age < 85";"-0.6931813946";"0.04257428";"Inf";"-0.79363228";"-0.592730506";"V3 14-60D";"no-vax";"3558";"48484";"1913581";" 849";"24795";" 675630";"138424.04";"138471.68";"166225";" 3.865135e-11";"age_bin_85"
"(V3 60+) - (no-vax)";"Age < 85";"-0.2285491918";"0.04620978";"Inf";"-0.33757778";"-0.119520599";"V3 60+";"no-vax";"3558";"48484";"1913581";" 959";"10356";"1124475";"138424.04";"138471.68";"166225";" 3.865135e-11";"age_bin_85"
"(V3 0-14D) - (no-vax)";"Age 85+";"-0.9974081960";"0.18309350";"Inf";"-1.42940388";"-0.565412516";"V3 0-14D";"no-vax";" 280";" 5783";" 238939";"  34";" 5783";"  65360";"138424.04";"138471.68";"166225";" 3.865135e-11";"age_bin_85"
"(V3 14-60D) - (no-vax)";"Age 85+";"-0.5064756603";"0.12748527";"Inf";"-0.80726779";"-0.205683531";"V3 14-60D";"no-vax";" 280";" 5783";" 238939";"  81";" 3514";"  88913";"138424.04";"138471.68";"166225";" 3.865135e-11";"age_bin_85"
"(V3 60+) - (no-vax)";"Age 85+";" 0.4112237449";"0.10780527";"Inf";" 0.15686511";" 0.665582375";"V3 60+";"no-vax";" 280";" 5783";" 238939";" 141";" 1100";" 131907";"138424.04";"138471.68";"166225";" 3.865135e-11";"age_bin_85"
"(V3 0-14D) - (no-vax)";"M";"-0.6328010064";"0.06542822";"Inf";"-0.78717408";"-0.478427928";"V3 0-14D";"no-vax";"1679";"27614";"1016312";" 314";"27614";" 285568";"138496.86";"138544.50";"166225";" 6.430619e-04";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"M";"-0.6594251027";"0.05830207";"Inf";"-0.79698457";"-0.521865638";"V3 14-60D";"no-vax";"1679";"27614";"1016312";" 409";"13949";" 361307";"138496.86";"138544.50";"166225";" 6.430619e-04";"gender_concept_id"
"(V3 60+) - (no-vax)";"M";"-0.1202403960";"0.05896947";"Inf";"-0.25937453";" 0.018893737";"V3 60+";"no-vax";"1679";"27614";"1016312";" 491";" 5219";" 582743";"138496.86";"138544.50";"166225";" 6.430619e-04";"gender_concept_id"
"(V3 0-14D) - (no-vax)";"F";"-0.3492261162";"0.05537901";"Inf";"-0.47988883";"-0.218563401";"V3 0-14D";"no-vax";"2159";"26653";"1136208";" 487";"26653";" 282531";"138496.86";"138544.50";"166225";" 6.430619e-04";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"F";"-0.6897854918";"0.05224681";"Inf";"-0.81305801";"-0.566512969";"V3 14-60D";"no-vax";"2159";"26653";"1136208";" 521";"14360";" 403236";"138496.86";"138544.50";"166225";" 6.430619e-04";"gender_concept_id"
"(V3 60+) - (no-vax)";"F";"-0.2017547055";"0.05384664";"Inf";"-0.32880190";"-0.074707511";"V3 60+";"no-vax";"2159";"26653";"1136208";" 609";" 6237";" 673639";"138496.86";"138544.50";"166225";" 6.430619e-04";"gender_concept_id"
"(V3 0-14D) - (no-vax)";"0";" 0.0667158016";"0.11770004";"Inf";"-0.21098879";" 0.344420395";"V3 0-14D";"no-vax";" 369";" 4982";" 252503";"  95";" 4380";"  45921";"138524.18";"138626.26";"166225";" 2.229018e-05";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"0";"-0.7264535034";"0.13093726";"Inf";"-1.03539034";"-0.417516663";"V3 14-60D";"no-vax";" 369";" 4982";" 252503";"  71";" 2336";"  71749";"138524.18";"138626.26";"166225";" 2.229018e-05";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"0";"-0.2160079929";"0.12011056";"Inf";"-0.49940005";" 0.067384065";"V3 60+";"no-vax";" 369";" 4982";" 252503";"  91";" 1228";" 130482";"138524.18";"138626.26";"166225";" 2.229018e-05";"visits_outpatient_cat"
"(V3 0-14D) - (no-vax)";"1";"-0.4129945129";"0.13189494";"Inf";"-0.72419093";"-0.101798093";"V3 0-14D";"no-vax";" 337";" 5208";" 209445";"  72";" 5137";"  53111";"138524.18";"138626.26";"166225";" 2.229018e-05";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"1";"-0.7135953017";"0.12768147";"Inf";"-1.01485036";"-0.412340244";"V3 14-60D";"no-vax";" 337";" 5208";" 209445";"  77";" 2582";"  72205";"138524.18";"138626.26";"166225";" 2.229018e-05";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"1";"-0.5482047325";"0.13595007";"Inf";"-0.86896894";"-0.227440527";"V3 60+";"no-vax";" 337";" 5208";" 209445";"  68";" 1133";" 125599";"138524.18";"138626.26";"166225";" 2.229018e-05";"visits_outpatient_cat"
"(V3 0-14D) - (no-vax)";"2";"-0.5635084495";"0.13271672";"Inf";"-0.87664382";"-0.250373084";"V3 0-14D";"no-vax";" 388";" 5157";" 213262";"  69";" 5025";"  52248";"138524.18";"138626.26";"166225";" 2.229018e-05";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"2";"-0.7156388724";"0.11957929";"Inf";"-0.99777743";"-0.433500311";"V3 14-60D";"no-vax";" 388";" 5157";" 213262";"  88";" 2614";"  73014";"138524.18";"138626.26";"166225";" 2.229018e-05";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"2";"-0.2608517187";"0.11474585";"Inf";"-0.53158613";" 0.009882689";"V3 60+";"no-vax";" 388";" 5157";" 213262";" 102";" 1140";" 124433";"138524.18";"138626.26";"166225";" 2.229018e-05";"visits_outpatient_cat"
"(V3 0-14D) - (no-vax)";"3+";"-0.5363301079";"0.05145988";"Inf";"-0.65774592";"-0.414914295";"V3 0-14D";"no-vax";"2744";"38920";"1477310";" 565";"39725";" 416819";"138524.18";"138626.26";"166225";" 2.229018e-05";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"3+";"-0.6676237765";"0.04645459";"Inf";"-0.77722996";"-0.558017593";"V3 14-60D";"no-vax";"2744";"38920";"1477310";" 694";"20777";" 547575";"138524.18";"138626.26";"166225";" 2.229018e-05";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"3+";"-0.1182656652";"0.04891864";"Inf";"-0.23368562";"-0.002845715";"V3 60+";"no-vax";"2744";"38920";"1477310";" 839";" 7955";" 875868";"138524.18";"138626.26";"166225";" 2.229018e-05";"visits_outpatient_cat"
"(V3 0-14D) - (no-vax)";"< 1y";"-0.3070799624";"0.07928969";"Inf";"-0.49415817";"-0.120001751";"V3 0-14D";"no-vax";" 931";"11604";" 503986";" 215";"11604";" 123781";"138544.24";"138591.88";"166225";" 6.438309e-02";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"< 1y";"-0.5978774561";"0.07300540";"Inf";"-0.77012834";"-0.425626570";"V3 14-60D";"no-vax";" 931";"11604";" 503986";" 255";" 6429";" 185889";"138544.24";"138591.88";"166225";" 6.438309e-02";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"< 1y";"-0.0883698050";"0.07226536";"Inf";"-0.25887461";" 0.082135002";"V3 60+";"no-vax";" 931";"11604";" 503986";" 299";" 2899";" 304169";"138544.24";"138591.88";"166225";" 6.438309e-02";"cancer_diagnosis_time_bin_0"
"(V3 0-14D) - (no-vax)";"1-5yr";"-0.5239928977";"0.05067405";"Inf";"-0.64355460";"-0.404431193";"V3 0-14D";"no-vax";"2907";"42663";"1648534";" 586";"42663";" 444318";"138544.24";"138591.88";"166225";" 6.438309e-02";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"1-5yr";"-0.7050831772";"0.04672579";"Inf";"-0.81532924";"-0.594837114";"V3 14-60D";"no-vax";"2907";"42663";"1648534";" 675";"21880";" 578654";"138544.24";"138591.88";"166225";" 6.438309e-02";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"1-5yr";"-0.1964035271";"0.04911106";"Inf";"-0.31227746";"-0.080529598";"V3 60+";"no-vax";"2907";"42663";"1648534";" 801";" 8557";" 952213";"138544.24";"138591.88";"166225";" 6.438309e-02";"cancer_diagnosis_time_bin_0"
