"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"Age 80+";"-1.754566e+00";"4.779239e-01";"Inf";"    -2.882193";"-6.269401e-01";"V3 14-60D";"no-vax";" 52";"11759";" 480406";" 5";" 6996";" 173291";"2575.8076";"2596.0924";"167779";"6.011342e-01";"age_bin_80"
"(V3 60+) - (no-vax)";"Age 80+";"-1.456565e+00";"4.215795e-01";"Inf";"    -2.451251";"-4.618791e-01";"V3 60+";"no-vax";" 52";"11759";" 480406";" 7";" 2144";" 258144";"2575.8076";"2596.0924";"167779";"6.011342e-01";"age_bin_80"
"(V3 0-14D) - (no-vax)";"Age < 85";"-1.622690e+01";"1.460361e+03";"Inf";" -3461.840301";" 3.429386e+03";"V3 0-14D";"no-vax";" 69";"48484";"2016399";" 0";"48484";" 507340";"2576.4122";"2596.6971";"167779";"2.822276e-01";"age_bin_85"
"(V3 14-60D) - (no-vax)";"Age < 85";"-1.401723e+00";"3.502027e-01";"Inf";"    -2.228001";"-5.754457e-01";"V3 14-60D";"no-vax";" 69";"48484";"2016399";"10";"25339";" 700825";"2576.4122";"2596.6971";"167779";"2.822276e-01";"age_bin_85"
"(V3 60+) - (no-vax)";"Age < 85";"-1.192424e+00";"3.477030e-01";"Inf";"    -2.012804";"-3.720444e-01";"V3 60+";"no-vax";" 69";"48484";"2016399";"11";"10735";"1153819";"2576.4122";"2596.6971";"167779";"2.822276e-01";"age_bin_85"
"(V3 0-14D) - (no-vax)";"Age 85+";"-1.036835e+00";"1.069261e+00";"Inf";"    -3.559678";" 1.486009e+00";"V3 0-14D";"no-vax";" 36";" 5783";" 247012";" 1";" 5783";"  65562";"2576.4122";"2596.6971";"167779";"2.822276e-01";"age_bin_85"
"(V3 14-60D) - (no-vax)";"Age 85+";"-2.300943e+00";"7.329672e-01";"Inf";"    -4.030325";"-5.715603e-01";"V3 14-60D";"no-vax";" 36";" 5783";" 247012";" 2";" 3537";"  90534";"2576.4122";"2596.6971";"167779";"2.822276e-01";"age_bin_85"
"(V3 60+) - (no-vax)";"Age 85+";"-1.468547e+00";"4.937128e-01";"Inf";"    -2.633427";"-3.036682e-01";"V3 60+";"no-vax";" 36";" 5783";" 247012";" 5";" 1150";" 136790";"2576.4122";"2596.6971";"167779";"2.822276e-01";"age_bin_85"
"(V3 0-14D) - (no-vax)";"M";"-1.630289e+01";"1.519876e+03";"Inf";" -3602.339873";" 3.569734e+03";"V3 0-14D";"no-vax";" 65";"27614";"1065931";" 0";"27614";" 287423";"2596.5866";"2616.8715";"167779";"1.625586e-01";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"M";"-1.432695e+00";"3.673086e-01";"Inf";"    -2.299333";"-5.660573e-01";"V3 14-60D";"no-vax";" 65";"27614";"1065931";" 9";"14174";" 372390";"2596.5866";"2616.8715";"167779";"1.625586e-01";"gender_concept_id"
"(V3 60+) - (no-vax)";"M";"-1.027401e+00";"3.279632e-01";"Inf";"    -1.801207";"-2.535964e-01";"V3 60+";"no-vax";" 65";"27614";"1065931";"13";" 5408";" 598387";"2596.5866";"2616.8715";"167779";"1.625586e-01";"gender_concept_id"
"(V3 0-14D) - (no-vax)";"F";"-1.041877e+00";"1.068597e+00";"Inf";"    -3.563154";" 1.479400e+00";"V3 0-14D";"no-vax";" 40";"26653";"1197480";" 1";"26653";" 285479";"2596.5866";"2616.8715";"167779";"1.625586e-01";"gender_concept_id"
"(V3 14-60D) - (no-vax)";"F";"-2.037069e+00";"6.055512e-01";"Inf";"    -3.465823";"-6.083155e-01";"V3 14-60D";"no-vax";" 40";"26653";"1197480";" 3";"14702";" 418969";"2596.5866";"2616.8715";"167779";"1.625586e-01";"gender_concept_id"
"(V3 60+) - (no-vax)";"F";"-1.976784e+00";"6.108229e-01";"Inf";"    -3.417975";"-5.355918e-01";"V3 60+";"no-vax";" 40";"26653";"1197480";" 3";" 6477";" 692222";"2596.5866";"2616.8715";"167779";"1.625586e-01";"gender_concept_id"
