"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 14-60D) - (no-vax)";"1";" -3.2803388";"1.007770e+00";"Inf";"   -5.5194136";"  -1.04126409";"V3 14-60D";"no-vax";" 74";" 11149";" 272612";"  1";" 2630";"  74464";"22248.464";"22303.764";"167779";"4.965031e-02";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"1";" -1.3206802";"3.027812e-01";"Inf";"   -1.9934029";"  -0.64795751";"V3 60+";"no-vax";" 74";" 11149";" 272612";" 13";" 2226";" 128046";"22248.464";"22303.764";"167779";"4.965031e-02";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"2";" -1.8554952";"7.279578e-01";"Inf";"   -3.4728804";"  -0.23811007";"V3 14-60D";"no-vax";" 36";" 10994";" 276368";"  2";" 2667";"  75671";"22248.464";"22303.764";"167779";"4.965031e-02";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"2";" -0.3649158";"3.023930e-01";"Inf";"   -1.0367761";"   0.30694450";"V3 60+";"no-vax";" 36";" 10994";" 276368";" 16";" 2234";" 127482";"22248.464";"22303.764";"167779";"4.965031e-02";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"3+";" -1.9781723";"1.725777e-01";"Inf";"   -2.3616075";"  -1.59473707";"V3 14-60D";"no-vax";"721";" 83944";"1977816";" 38";"21171";" 566827";"22248.464";"22303.764";"167779";"4.965031e-02";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"3+";" -1.4111211";"1.063826e-01";"Inf";"   -1.6474831";"  -1.17475908";"V3 60+";"no-vax";"721";" 83944";"1977816";"116";"15511";" 902130";"22248.464";"22303.764";"167779";"4.965031e-02";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"< 1y";" -2.0304559";"2.601248e-01";"Inf";"   -2.6084042";"  -1.45250755";"V3 14-60D";"no-vax";"320";" 25182";" 656633";" 16";" 6578";" 193325";"22242.795";"22267.931";"167779";"1.496644e-01";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"< 1y";" -1.5661153";"1.646135e-01";"Inf";"   -1.9318556";"  -1.20037499";"V3 60+";"no-vax";"320";" 25182";" 656633";" 44";" 5633";" 314142";"22242.795";"22267.931";"167779";"1.496644e-01";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"1-5yr";" -1.9795374";"1.926502e-01";"Inf";"   -2.4075698";"  -1.55150507";"V3 14-60D";"no-vax";"602";" 91349";"2179680";" 30";"22298";" 598034";"22242.795";"22267.931";"167779";"1.496644e-01";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"1-5yr";" -1.2020319";"1.078188e-01";"Inf";"   -1.4415850";"  -0.96247880";"V3 60+";"no-vax";"602";" 91349";"2179680";"115";"16739";" 976467";"22242.795";"22267.931";"167779";"1.496644e-01";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"< 2y";" -2.0606728";"2.096897e-01";"Inf";"   -2.5265638";"  -1.59478180";"V3 14-60D";"no-vax";"525";" 49345";"1241416";" 25";"12584";" 356146";"22239.314";"22264.451";"167779";"3.186625e-01";"cancer_diagnosis_time_bin_1"
"(V3 60+) - (no-vax)";"< 2y";" -1.4326371";"1.239234e-01";"Inf";"   -1.7079715";"  -1.15730278";"V3 60+";"no-vax";"525";" 49345";"1241416";" 82";"10252";" 582149";"22239.314";"22264.451";"167779";"3.186625e-01";"cancer_diagnosis_time_bin_1"
"(V3 14-60D) - (no-vax)";"2-5yr";" -1.9163474";"2.286106e-01";"Inf";"   -2.4242772";"  -1.40841767";"V3 14-60D";"no-vax";"397";" 67186";"1594897";" 21";"16292";" 435213";"22239.314";"22264.451";"167779";"3.186625e-01";"cancer_diagnosis_time_bin_1"
"(V3 60+) - (no-vax)";"2-5yr";" -1.1791548";"1.294979e-01";"Inf";"   -1.4668749";"  -0.89143475";"V3 60+";"no-vax";"397";" 67186";"1594897";" 77";"12120";" 708460";"22239.314";"22264.451";"167779";"3.186625e-01";"cancer_diagnosis_time_bin_1"
"(V3 14-60D) - (no-vax)";"< 3y";" -2.1363278";"1.951165e-01";"Inf";"   -2.5698400";"  -1.70281560";"V3 14-60D";"no-vax";"661";" 72597";"1793358";" 29";"18255";" 508418";"22274.998";"22300.135";"167779";"2.431824e-01";"cancer_diagnosis_time_bin_2"
