"contrast";"term";"estimate";"SE";"df";"asymp.LCL";"asymp.UCL";"trt";"ctrl";"crtl.n_events";"crtl.n_obs";"crtl.exp_time";"trt.n_events";"trt.n_obs";"trt.exp_time";"model_AIC";"model_BIC";"model_size";"model_p_value";"model_interaction_var"
"(V3 60+) - (no-vax)";"0";" -0.65970272";"   0.4539138";"Inf";"   -1.7306790";" 4.112736e-01";"V3 60+";"no-vax";" 29";" 4982";" 260171";" 6";" 1247";" 132246";"10092.631";"10155.940";"167481";"5.786548e-01";"visits_outpatient_cat"
"(V3 0-14D) - (no-vax)";"1";"-14.18916307";" 680.4856653";"Inf";"-1619.7451279";" 1.591367e+03";"V3 0-14D";"no-vax";" 19";" 5208";" 216529";" 0";" 5137";"  53537";"10092.631";"10155.940";"167481";"5.786548e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"1";" -2.30211880";"   1.0273979";"Inf";"   -4.7261887";" 1.219511e-01";"V3 14-60D";"no-vax";" 19";" 5208";" 216529";" 1";" 2630";"  74086";"10092.631";"10155.940";"167481";"5.786548e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"1";" -0.78897522";"   0.5550452";"Inf";"   -2.0985635";" 5.206131e-01";"V3 60+";"no-vax";" 19";" 5208";" 216529";" 4";" 1168";" 127463";"10092.631";"10155.940";"167481";"5.786548e-01";"visits_outpatient_cat"
"(V3 0-14D) - (no-vax)";"2";" -1.00639802";"   1.0354541";"Inf";"   -3.4494760";" 1.436680e+00";"V3 0-14D";"no-vax";" 17";" 5157";" 220902";" 1";" 5025";"  52645";"10092.631";"10155.940";"167481";"5.786548e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"2";" -0.40025956";"   0.4780010";"Inf";"   -1.5280678";" 7.275487e-01";"V3 14-60D";"no-vax";" 17";" 5157";" 220902";" 6";" 2666";"  75152";"10092.631";"10155.940";"167481";"5.786548e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"2";" -0.10530047";"   0.4549875";"Inf";"   -1.1788102";" 9.682092e-01";"V3 60+";"no-vax";" 17";" 5157";" 220902";" 7";" 1172";" 126720";"10092.631";"10155.940";"167481";"5.786548e-01";"visits_outpatient_cat"
"(V3 0-14D) - (no-vax)";"3+";" -1.69688193";"   0.3411113";"Inf";"   -2.5017089";"-8.920550e-01";"V3 0-14D";"no-vax";"295";"38920";"1533260";"10";"39725";" 420106";"10092.631";"10155.940";"167481";"5.786548e-01";"visits_outpatient_cat"
"(V3 14-60D) - (no-vax)";"3+";" -1.61431683";"   0.1912298";"Inf";"   -2.0655095";"-1.163124e+00";"V3 14-60D";"no-vax";"295";"38920";"1533260";"33";"21165";" 563286";"10092.631";"10155.940";"167481";"5.786548e-01";"visits_outpatient_cat"
"(V3 60+) - (no-vax)";"3+";" -0.65712462";"   0.1522166";"Inf";"   -1.0162685";"-2.979807e-01";"V3 60+";"no-vax";"295";"38920";"1533260";"71";" 8202";" 894997";"10092.631";"10155.940";"167481";"5.786548e-01";"visits_outpatient_cat"
"(V3 0-14D) - (no-vax)";"< 1y";" -1.67850662";"   0.5974721";"Inf";"   -3.0881982";"-2.688151e-01";"V3 0-14D";"no-vax";" 99";"11604";" 523451";" 3";"11604";" 125052";"10120.874";"10150.419";"167481";"7.769175e-01";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"< 1y";" -1.81355116";"   0.3521438";"Inf";"   -2.6444086";"-9.826937e-01";"V3 14-60D";"no-vax";" 99";"11604";" 523451";" 9";" 6576";" 191903";"10120.874";"10150.419";"167481";"7.769175e-01";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"< 1y";" -0.64607033";"   0.2393505";"Inf";"   -1.2108003";"-8.134037e-02";"V3 60+";"no-vax";" 99";"11604";" 523451";"24";" 2987";" 311515";"10120.874";"10150.419";"167481";"7.769175e-01";"cancer_diagnosis_time_bin_0"
"(V3 0-14D) - (no-vax)";"1-5yr";" -1.65632786";"   0.3576072";"Inf";"   -2.5000757";"-8.125800e-01";"V3 0-14D";"no-vax";"261";"42663";"1707411";" 9";"42663";" 447783";"10120.874";"10150.419";"167481";"7.769175e-01";"cancer_diagnosis_time_bin_0"
"(V3 14-60D) - (no-vax)";"1-5yr";" -1.41366676";"   0.1902080";"Inf";"   -1.8624485";"-9.648850e-01";"V3 14-60D";"no-vax";"261";"42663";"1707411";"34";"22293";" 594468";"10120.874";"10150.419";"167481";"7.769175e-01";"cancer_diagnosis_time_bin_0"
"(V3 60+) - (no-vax)";"1-5yr";" -0.60195416";"   0.1583129";"Inf";"   -0.9754818";"-2.284265e-01";"V3 60+";"no-vax";"261";"42663";"1707411";"64";" 8802";" 969911";"10120.874";"10150.419";"167481";"7.769175e-01";"cancer_diagnosis_time_bin_0"
"(V3 0-14D) - (no-vax)";"< 2y";" -1.67595905";"   0.4686596";"Inf";"   -2.7817270";"-5.701911e-01";"V3 0-14D";"no-vax";"158";"22867";" 981912";" 5";"22867";" 244144";"10123.872";"10153.416";"167481";"9.637550e-01";"cancer_diagnosis_time_bin_1"
"(V3 14-60D) - (no-vax)";"< 2y";" -1.42147667";"   0.2382917";"Inf";"   -1.9837083";"-8.592450e-01";"V3 14-60D";"no-vax";"158";"22867";" 981912";"21";"12581";" 353763";"10123.872";"10153.416";"167481";"9.637550e-01";"cancer_diagnosis_time_bin_1"
"(V3 60+) - (no-vax)";"< 2y";" -0.59634395";"   0.1920711";"Inf";"   -1.0495217";"-1.431662e-01";"V3 60+";"no-vax";"158";"22867";" 981912";"40";" 5416";" 577649";"10123.872";"10153.416";"167481";"9.637550e-01";"cancer_diagnosis_time_bin_1"
"(V3 0-14D) - (no-vax)";"2-5yr";" -1.65165647";"   0.4009261";"Inf";"   -2.5976121";"-7.057009e-01";"V3 0-14D";"no-vax";"202";"31400";"1248950";" 7";"31400";" 328691";"10123.872";"10153.416";"167481";"9.637550e-01";"cancer_diagnosis_time_bin_1"
"(V3 14-60D) - (no-vax)";"2-5yr";" -1.58994618";"   0.2309716";"Inf";"   -2.1349067";"-1.044986e+00";"V3 14-60D";"no-vax";"202";"31400";"1248950";"22";"16288";" 432608";"10123.872";"10153.416";"167481";"9.637550e-01";"cancer_diagnosis_time_bin_1"
